method,scene_id,im_id,instance_id,gt_index,score,translation_error_mm,depth_error_mm,rotation_error_deg,center_error_px,gt_bbox_center_error_px,add_mm,pred_z_mm,gt_z_mm,translation_scale_to_mm,pred_bbox_iou,pred_mask_iou,camera_id
original,1,110,409,0,0.15625,6748.705182051603,6747.404612167629,22.9137417956912,6.621010454090217,5.892304525371566,6775.640204158512,66977.4296875,60230.02507533237,1.0,0.7127882599580713,0.5788590604026845,front
original,1,110,410,1,0.07421875,22471.58197526711,22468.40354600994,22.37311684462209,7.536894931095531,9.279774505311183,22507.415370854185,61029.4765625,38561.07301649006,1.0,0.5240641711229946,0.4033798677443057,front
original,1,1230,593,0,0.1328125,4453.785142250378,4451.517495625441,9.795258080670687,7.914026388553856,4.898565917124225,4453.900266480795,24233.931640625,19782.41414499956,1.0,0.5848956255817046,0.5640243902439024,front
original,1,1000,240,0,0.07421875,59858.64990506352,59803.06292755734,85.56988098183682,4.505025881694826,4.386540427778704,60118.95478190627,119734.265625,59931.20269744266,1.0,0.43243243243243246,0.42948717948717946,front
original,3,950,167,0,0.078125,27539.89328543267,27085.19871127094,120.53565405333663,15.812948728339268,15.656295506528371,27955.61559135859,75201.4453125,48116.24660122906,1.0,0.7168578845992798,0.5710082385249118,stereo_left
original,2,495,1500,0,0.05078125,99001.1759770729,97267.04569191395,90.34708095595182,1.4881337663796412,1.202126787576274,98903.09886349863,260040.421875,162773.37618308605,1.0,0.6206896551724138,0.5436893203883495,rear
original,2,1170,498,0,0.03515625,12999.413817065604,10323.365142229595,32.195936871941825,1.783665766711941,2.347233320865177,12924.492991747742,500697.34375,511020.7088922296,1.0,0.7142857142857143,0.4642857142857143,rear
original,1,965,190,0,0.078125,29364.13876525694,29042.249515273354,14.003615368787438,2.454090538086495,3.0725477953469382,29384.053270303,75994.796875,46952.54735972665,1.0,0.5327635327635327,0.4461009174311927,front
original,4,1335,738,0,0.22265625,213.55204064203528,26.93627501737774,3.9252745857724474,92.98566880076451,65.32251402103739,213.45621683687466,7996.50341796875,7969.567142951372,1.0,0.8469427410271442,0.6576552688590211,stereo_right
original,4,1580,927,0,0.19921875,2292.3008625578914,2291.5819133497116,6.9755139160410415,22.579724931953248,18.381553257780478,2296.920829093703,15977.927734375,13686.345821025288,1.0,0.7356354453366626,0.6656050955414012,stereo_right
original,4,505,1525,0,0.0546875,75461.3342978133,75256.4330834022,170.59216988708033,15.608114972396688,15.04952202728516,75932.69689872881,204856.234375,129599.8012915978,1.0,0.480150046889653,0.45618993781797623,stereo_right
original,3,615,1663,0,0.13671875,38649.55552497965,37999.640115939634,20.889282771661705,3.7762703078144098,3.904620855293696,38669.62519077708,145057.078125,107057.43800906037,1.0,0.689383272317657,0.6002858504049547,stereo_left
original,3,1535,885,0,0.16796875,4130.909827804443,4129.95072172216,3.74269399523771,10.967228781996,5.989902332471743,4130.921946889418,19894.18359375,15764.23287202784,1.0,0.624931270128034,0.5664441712716703,stereo_left
