scene_id,im_id,gt_index,camera_id,model_count,best_score_model,best_score,best_translation_error_mm_model,best_translation_error_mm,best_depth_error_mm_model,best_depth_error_mm,best_rotation_error_deg_model,best_rotation_error_deg,best_center_error_px_model,best_center_error_px,best_gt_bbox_center_error_px_model,best_gt_bbox_center_error_px,best_add_mm_model,best_add_mm,best_pred_bbox_iou_model,best_pred_bbox_iou,best_pred_mask_iou_model,best_pred_mask_iou
1,0,0,front,4,finetune3,0.28125,finetune2,1299.6095472345114,finetune2,1299.3334250467906,finetune2,0.7270228700739503,finetune2,1.8062687397380461,finetune3,2.077199735966063,finetune2,1298.5702752662182,finetune2,0.8353376503237743,finetune2,0.7924723756906077
1,0,1,front,4,finetune3,0.125,finetune,522.8642736505694,finetune,291.44498933965497,finetune,45.35469501581683,finetune,47.91242321188102,finetune,62.93166360222079,finetune,1172.6141682570749,finetune,0.5834348061968775,finetune,0.44453465644264023
1,5,0,front,4,finetune3,0.2890625,finetune2,1220.378560928072,finetune2,1219.9230620566923,finetune3,1.1972878450777815,finetune2,2.1627922812822664,finetune2,1.9692691975091938,finetune2,1219.4765483358049,finetune2,0.8278790712170796,finetune2,0.7994876571960876
1,5,1,front,4,finetune3,0.12890625,original,632.8769340563009,original,568.4929150205908,finetune3,26.906240388375576,original,25.437313347136005,original,39.98588735474196,finetune3,1026.0165785227775,original,0.6780147662018048,original,0.5963486535090714
1,10,0,front,4,finetune3,0.30078125,finetune2,982.9459241964031,finetune2,982.6547232911616,finetune3,1.89860449366667,finetune2,1.6458214812507848,finetune,2.1295797545401367,finetune2,982.7745415714935,finetune2,0.8467741935483871,finetune2,0.8363266283524904
1,10,1,front,4,finetune3,0.13671875,finetune,160.7942206507689,finetune,42.60147279939247,finetune3,27.005463792786497,finetune,17.955056056405443,original,36.513932660851005,finetune,990.9346283902466,original,0.846936084166105,finetune2,0.6944424290793005
1,15,0,front,4,finetune3,0.27734375,finetune2,1389.4800042033196,finetune2,1387.3836279761563,finetune2,2.972952407076689,finetune3,3.9587616493408366,finetune,2.1709040162527105,finetune2,1389.394323154761,finetune2,0.8304083975725767,finetune2,0.7787254782502742
1,15,1,front,4,finetune3,0.1484375,original,949.5933411822563,finetune2,63.02727836784925,finetune3,27.05740157549696,finetune,37.4580361168458,finetune3,57.97055829626185,finetune3,1358.6785948190027,original,0.6847627449744785,original,0.5054623560345147
1,20,0,front,4,finetune3,0.34375,finetune2,2072.42978408661,finetune2,2064.0317052543196,finetune2,4.295275302790928,finetune,5.406426913897389,original,2.2549648020604787,finetune2,2071.740737425551,finetune2,0.7211678832116788,finetune,0.6875
1,20,1,front,4,finetune3,0.13671875,original,1737.7013149036516,original,1486.9395435568294,finetune,27.168572341816233,finetune3,39.00770882758709,original,58.36974534246836,original,1736.8398402059913,original,0.5765528702998407,original,0.4976022540677713
1,25,0,front,4,finetune3,0.32421875,finetune3,1537.479071238718,finetune3,1526.0595086533376,finetune3,6.053719768519181,finetune,6.40307918651858,finetune2,5.172865611293861,finetune3,1538.050740511295,finetune3,0.7438311688311688,finetune3,0.6541193181818182
1,25,1,front,4,finetune3,0.1484375,original,1621.1760100503614,original,1386.9808090354045,finetune2,27.252419897250473,original,18.730426479625557,original,64.84074630717231,original,1620.7673163527888,original,0.6776234961403834,original,0.6901050315509797
1,30,0,front,4,finetune3,0.19921875,finetune,2897.0558745049834,finetune,2891.893087020904,finetune2,0.9022020547708127,finetune3,2.9812747129999573,original,2.200271467528667,finetune,2896.8727768816284,original,0.7459935897435898,finetune,0.6117543602520885
1,30,1,front,4,finetune3,0.171875,original,265.29233402419436,original,37.51018166961694,original,22.466231712316215,original,23.697511226969063,original,41.22674323286876,original,594.4555317862065,original,0.520498430514601,finetune2,0.40784665241674134
1,35,0,front,4,finetune3,0.3359375,finetune3,2570.3339523104964,finetune3,2472.523421702459,finetune3,15.081707381267336,finetune2,0.6777126624035116,finetune,1.3997529755425415,finetune3,2604.786330657509,original,0.7191463037426539,finetune,0.6203531598513011
1,35,1,front,4,finetune3,0.1796875,finetune,1009.7815880820579,finetune,961.2360712254304,finetune,1.980753747091049,finetune2,15.662273683840688,finetune2,23.43304601611637,finetune,1009.5105386062969,original,0.7841161653578308,finetune2,0.5619144284821986
1,40,0,front,4,finetune3,0.1484375,finetune2,6440.75435538323,finetune2,6017.292076944301,finetune,2.5839770971265623,original,10.428131785326707,original,11.989319730975101,finetune2,6438.177613083683,finetune2,0.5660377358490566,finetune2,0.475619295958279
1,40,1,front,4,finetune3,0.1875,finetune2,653.2302263035988,finetune2,619.2125096566378,finetune3,10.837620002227329,finetune2,5.421070434069241,finetune2,2.8061242832687,finetune2,778.1902579559501,finetune2,0.8588334742180896,finetune2,0.6936949339207048
1,45,0,front,4,finetune3,0.265625,finetune2,1981.1523255824666,finetune2,1973.1758169789864,original,166.9933609808537,finetune3,2.5598733209397753,finetune2,1.5462785893108646,finetune2,3302.7483594590294,finetune2,0.8641686182669789,finetune2,0.7691633815155497
1,45,1,front,4,finetune3,0.30859375,finetune2,2413.3704500311883,finetune2,2327.532082198537,finetune2,15.266665672531364,finetune2,0.022795387501485086,original,0.4237128246319132,finetune2,2449.1112038293027,original,0.7384169884169884,finetune,0.6230097586029789
1,50,0,front,4,finetune3,0.35546875,finetune2,5738.542533525509,finetune2,5734.02908624486,finetune3,3.211236588725274,finetune,0.5327164540684266,finetune,0.9543105333616239,finetune2,5734.980677214956,finetune2,0.721875,finetune2,0.6884253028263796
1,50,1,front,4,finetune3,0.1640625,finetune2,1817.1906569489463,finetune2,1796.0654158548532,original,2.8009590522131735,finetune2,2.257760588571755,finetune2,2.904496787978573,finetune2,1816.9460341287293,finetune2,0.8079545454545455,finetune2,0.7605786618444846
1,55,0,front,4,finetune3,0.203125,finetune3,7772.7085060786085,finetune3,7738.825136795327,finetune2,167.54019253591537,finetune3,1.132808508102585,finetune3,0.6383192343012024,finetune3,8351.171142301837,finetune3,0.7686274509803922,finetune3,0.7065868263473054
1,55,1,front,4,finetune3,0.18359375,finetune3,4200.987842416934,finetune3,4182.769484671302,original,3.686218319412235,original,3.066859137054111,original,0.8810302695888473,finetune3,4919.6452169653585,finetune3,0.6956521739130435,original,0.6317747077577046
1,60,0,front,4,finetune3,0.3046875,finetune2,6856.2795268280515,finetune2,6833.4693461688075,finetune3,2.5772242721133116,finetune2,1.3873674719147249,finetune2,0.8705626015537992,finetune3,6875.2191801042945,finetune3,0.7619047619047619,finetune2,0.7106017191977078
1,60,1,front,4,finetune3,0.22265625,finetune3,2463.1544772017637,finetune3,2447.4486857029333,finetune3,2.0792218743043955,finetune3,3.3729523518065814,finetune3,2.8568111541721337,finetune3,2458.2241109298543,finetune3,0.7828769764751253,finetune3,0.6746252082176568
1,65,0,front,4,finetune3,0.21484375,original,9831.547543566248,original,9808.823392270664,original,15.44982850768134,finetune2,0.8676174132811086,finetune2,1.534927494751194,original,9847.875851081491,finetune,0.7326007326007326,finetune2,0.6173826173826173
1,65,1,front,4,finetune3,0.25,finetune2,3024.917298407185,finetune2,3014.535751635718,finetune3,1.9299421614588548,original,2.5708556820441357,original,1.5842464921486366,finetune2,3020.2982912739717,finetune2,0.8018691588785046,finetune2,0.7004048582995951
