method,prediction_rows,evaluated_instances,translation_scale_to_mm,score_mean,score_median,score_p90,translation_error_mm_mean,translation_error_mm_median,translation_error_mm_p90,depth_error_mm_mean,depth_error_mm_median,depth_error_mm_p90,rotation_error_deg_mean,rotation_error_deg_median,rotation_error_deg_p90,center_error_px_mean,center_error_px_median,center_error_px_p90,gt_bbox_center_error_px_mean,gt_bbox_center_error_px_median,gt_bbox_center_error_px_p90,add_mm_mean,add_mm_median,add_mm_p90,pred_bbox_iou_mean,pred_bbox_iou_median,pred_bbox_iou_p90,pred_mask_iou_mean,pred_mask_iou_median,pred_mask_iou_p90,translation_recall_50mm,translation_recall_100mm,translation_recall_250mm,translation_recall_500mm,translation_recall_1000mm,rotation_recall_5deg,rotation_recall_10deg,rotation_recall_20deg,rotation_recall_45deg,rotation_recall_90deg,pred_bbox_iou_recall_0.25,pred_mask_iou_recall_0.25,pred_bbox_iou_recall_0.5,pred_mask_iou_recall_0.5,pred_bbox_iou_recall_0.75,pred_mask_iou_recall_0.75,camera_id
finetune,664,664,nan,0.12166439194277108,0.103515625,0.2421875,181846.8894555979,7189.2052171697105,140123.69874063923,171556.5733561079,6867.688720059015,133229.69815649444,49.84851822111179,20.46235828999564,159.52103499180296,31.272996635444503,5.457981330161747,22.310762784034043,11.112378482862045,3.204165802321598,17.42486652311841,181958.77490805375,7253.501673022534,140373.77102198615,0.5629980935224058,0.5908105361594205,0.7361341723325358,0.49578856091468393,0.5263931781805832,0.6556164641523011,0.0,0.0015060240963855422,0.009036144578313253,0.030120481927710843,0.05120481927710843,0.23493975903614459,0.3629518072289157,0.49698795180722893,0.6521084337349398,0.7515060240963856,0.947289156626506,0.9292168674698795,0.7243975903614458,0.5647590361445783,0.07981927710843373,0.009036144578313253,front
finetune,324,324,nan,0.0537109375,0.048828125,0.1015625,195362.6912650673,74112.05165675176,340835.4505901408,177713.14435740813,70384.12529179372,315476.8873484143,86.82596706006944,88.87758157116248,157.7881600768586,12.924303118024005,2.1528961473711306,8.539918118895292,3.6997150236472764,1.9323387404496413,7.314008350079924,195303.17220678704,73849.29737603714,340911.5833771428,0.4859600241961824,0.5,0.7298301643889878,0.41519268281274996,0.4390570411728214,0.6063150934038684,0.0,0.0030864197530864196,0.0030864197530864196,0.006172839506172839,0.012345679012345678,0.012345679012345678,0.033950617283950615,0.10802469135802469,0.2808641975308642,0.5030864197530864,0.8919753086419753,0.8827160493827161,0.5030864197530864,0.2962962962962963,0.09259259259259259,0.012345679012345678,rear
finetune,499,499,nan,0.15895854208416835,0.1640625,0.25,49897.64659821926,6543.3299556801285,46827.077071983185,49569.57317372607,6541.987648459446,46020.27385153994,34.65941346284575,6.846594879667507,164.91456030052206,40.731646915172014,14.629184358116277,65.54248003069667,26.765135785286724,8.362701926675356,70.75388141701622,49988.276204839174,6542.591308388317,47154.66157610291,0.5898694469480819,0.6009627947760544,0.7269470715938217,0.5325304170915593,0.5575559701492537,0.6453595756108407,0.002004008016032064,0.002004008016032064,0.002004008016032064,0.004008016032064128,0.02004008016032064,0.4168336673346693,0.5971943887775552,0.7454909819639278,0.8016032064128257,0.8256513026052105,0.9759519038076152,0.9619238476953907,0.8396793587174348,0.7474949899799599,0.06813627254509018,0.004008016032064128,stereo_left
finetune,501,501,nan,0.1608501746506986,0.1640625,0.25,58851.58428690308,6578.166099546113,42890.49969552301,57859.12824096961,6518.205451233275,42674.26142219854,33.810484505144274,7.562708695538283,161.83541949485382,35.52735583443283,16.11971972047875,72.14774476049,27.457455900495507,8.396042636505584,64.46227944122936,58928.46174803092,6603.003856011641,43416.713997984734,0.5948893599149094,0.6039332399626517,0.727927762543456,0.5402777995177003,0.563731583966131,0.6463708534165012,0.0,0.0,0.001996007984031936,0.003992015968063872,0.01996007984031936,0.3932135728542914,0.5868263473053892,0.7544910179640718,0.8083832335329342,0.8383233532934131,0.9780439121756487,0.9720558882235529,0.846307385229541,0.7524950099800399,0.0658682634730539,0.003992015968063872,stereo_right
finetune2,664,664,nan,0.11548733998493976,0.10546875,0.21484375,67295.41866845185,5547.800419576108,147758.4523693727,61130.41164524845,5329.615759159215,132862.29107573675,59.8598635040222,24.770322643216602,172.7545667467553,30.799960519604294,4.559763818024033,18.580277056025512,11.364662563185735,4.041580400016736,18.389897296990192,67481.2987773402,5699.962376503934,147942.09319003325,0.6080388046020474,0.639754392439743,0.8079010306553911,0.5329379373943177,0.5632585060363264,0.7288029455431623,0.0015060240963855422,0.004518072289156626,0.03313253012048193,0.061746987951807226,0.125,0.21084337349397592,0.32680722891566266,0.4503012048192771,0.6024096385542169,0.6852409638554217,0.947289156626506,0.9262048192771084,0.7590361445783133,0.5948795180722891,0.23493975903614459,0.07680722891566265,front
finetune2,324,324,nan,0.059702932098765434,0.0546875,0.109375,146635.68909605566,53619.98826842746,330009.038679548,136257.74437009628,51395.73152775877,299410.96954306314,98.82497621611367,102.38354813034151,169.009590430828,12.816914434493587,2.199424171773026,8.346647527934348,3.7865800723539276,2.1805109349341683,7.041634396234977,146563.84432271778,53544.951207809325,330274.94982914126,0.5209695598648321,0.5321213225465338,0.75,0.4359782225553409,0.4620885981380307,0.6,0.0,0.0,0.006172839506172839,0.012345679012345678,0.024691358024691357,0.006172839506172839,0.021604938271604937,0.08333333333333333,0.24074074074074073,0.41358024691358025,0.9104938271604939,0.8950617283950617,0.595679012345679,0.38580246913580246,0.1111111111111111,0.015432098765432098,rear
finetune2,499,499,nan,0.14961172344689377,0.15625,0.22265625,63298.98787500485,3989.696224035676,34410.73775441861,62800.58135367628,3964.138307476911,34238.033010391155,52.175908822794426,8.653497921329915,175.5353774018863,38.121059492215714,13.052734358082981,63.99588905188076,27.358954034007056,10.990835947397235,69.56036106029848,63545.62663281857,4261.859904170446,34818.37744578692,0.6919581835642725,0.7189295396324024,0.8340841047109661,0.6092269372031287,0.6421794193101763,0.7420939303900683,0.0,0.002004008016032064,0.018036072144288578,0.05811623246492986,0.13627254509018036,0.3727454909819639,0.5270541082164328,0.6472945891783567,0.7034068136272545,0.7254509018036072,0.9859719438877755,0.9739478957915831,0.8917835671342685,0.8156312625250501,0.36472945891783565,0.08617234468937876,stereo_left
finetune2,501,501,nan,0.14984874001996007,0.15625,0.22265625,66176.51366486882,3605.888542378063,33803.4275157997,64967.21764824989,3601.5859931954474,33796.492643183854,52.71481511583512,9.523550912886959,175.13995001416805,34.66991097661191,12.558668505588733,71.30166498015255,27.438869970351828,11.506938465946622,70.15215758529833,66423.8158241875,3926.4010812441543,33814.98394320986,0.6889341398724614,0.7168137527919569,0.8257341824173255,0.609969453012004,0.6472803347280335,0.7383467117307422,0.0,0.005988023952095809,0.01996007984031936,0.0658682634730539,0.1656686626746507,0.35129740518962077,0.5069860279441117,0.6467065868263473,0.6986027944111777,0.720558882235529,0.9760479041916168,0.9760479041916168,0.906187624750499,0.8263473053892215,0.36726546906187624,0.07584830339321358,stereo_right
finetune3,664,664,nan,0.19770684299698796,0.1953125,0.3359375,49412.499879338655,5579.0050650867815,91580.83710501839,45550.58203253222,5437.87900704272,88361.74252144074,59.09756002166249,21.505159238345456,173.04432616761758,31.797615115587902,4.119479300146967,21.132081160037238,11.809930126695175,4.298250809583187,24.144447036127836,49621.880131790705,5680.086086683077,91469.4571710896,0.6250310953173446,0.6580552220756316,0.7948604153778732,0.533609179927375,0.5563445444105717,0.7054786157933735,0.0,0.0015060240963855422,0.01957831325301205,0.06626506024096386,0.125,0.21385542168674698,0.3569277108433735,0.4894578313253012,0.608433734939759,0.6957831325301205,0.9743975903614458,0.9668674698795181,0.8162650602409639,0.6174698795180723,0.20783132530120482,0.022590361445783132,front
finetune3,324,324,nan,0.0970654899691358,0.07421875,0.19414062499999996,93565.76516776448,45648.82989513612,186449.88031881835,86422.53821723147,42964.09827740113,179776.49737578403,96.48873479704596,99.78907874552809,170.5214478917207,11.43046970921815,1.907583205689746,5.150270689046068,3.159775392468633,2.0162836226068412,5.711229144911549,93558.52467554856,45619.75329986063,186103.2264506775,0.569014248024243,0.5714285714285714,0.7816879476798505,0.4871134123409235,0.5,0.6536923076923077,0.0,0.0,0.0030864197530864196,0.018518518518518517,0.040123456790123455,0.027777777777777776,0.05864197530864197,0.12962962962962962,0.23765432098765432,0.42901234567901236,0.9629629629629629,0.9598765432098766,0.6728395061728395,0.5308641975308642,0.16049382716049382,0.018518518518518517,rear
finetune3,499,499,nan,0.24625814128256512,0.265625,0.34453124999999996,15822.114130218148,3906.437376304816,27848.400302127106,15647.367208147722,3795.5433627709026,27690.16595663181,55.97144147782191,9.573833171831469,177.31672538443758,38.576005895728954,15.86210008850954,67.7247480142331,30.876190763600498,14.622325112722828,75.15945968733106,16124.581095125597,4150.109605919105,28023.086574815406,0.6939019182481239,0.7178749717525731,0.8155810029607287,0.5906632379623017,0.6242925600033048,0.6981149834004978,0.0,0.002004008016032064,0.03006012024048096,0.09218436873747494,0.16633266533066132,0.3246492985971944,0.5130260521042084,0.6332665330661322,0.6773547094188377,0.7094188376753507,0.9919839679358717,0.9819639278557114,0.9298597194388778,0.8296593186372746,0.33266533066132264,0.02004008016032064,stereo_left
