match_key,scene_id,im_id,obj_id,instance_id,prediction_row_index,score,epnp_label_path,epnp_record_index,translation_error_mm,rotation_error_deg,roll_error_deg,pitch_error_deg,yaw_error_deg,T_gigapose_cam_obj,T_gigapose_aligned_epnp_obj,T_epnp_obj,source_selected_csv
image_3907722560986,1,26,1,179,895,0.109375,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/front/EPnPv2_gt_mesh_z_hybrid_labels/3907722560986_0.json,0,2798.559872521155,3.523014234655247,1.8204629950487117,2.824593351158406,1.1039940571982554,0 -0.99941945076 -0.0340697430074 -5263.15283203 0 0.0340697430074 -0.99941945076 942.596618652 1 0 0 35224.3046875 0 0 0 1,0.00840660284173 -0.998827387524 -0.0476777191789 -4561.75289108 0.00935976481102 0.0477559124239 -0.998815174883 147.420720644 0.999920858783 0.00795039036103 0.00975025456016 28004.8833466 0 0 0 1,-0.0116537055001 -0.999798834324 -0.0163180977106 -4556.67114258 -0.0396059155464 0.0167679246515 -0.99907463789 177.226692438 0.999147415161 -0.0109966332093 -0.0397933535278 30803.2798767 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260505v1_front_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_3909217666637,1,31,1,235,1175,0.15234375,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/front/EPnPv2_gt_mesh_z_hybrid_labels/3909217666637_0.json,0,1791.2550432926926,3.4195197532837587,2.0124300009148737,2.5704094299653097,1.0642546251626357,0 -0.999216079712 -0.0395876243711 -5739.67724609 0 0.0395876243711 -0.999216079712 514.708862305 1 0 0 43899.5 0 0 0 1,0.00845815549684 -0.998548455865 -0.0531920563086 -5042.67865731 0.00931320402357 0.0532703157937 -0.998536675162 -284.327755886 0.999920858783 0.00795039036103 0.00975025456016 36680.0786591 0 0 0 1,-0.0109331095591 -0.999769806862 -0.0184550322592 -4539.60609436 -0.0351902171969 0.0188293997198 -0.999203205109 -247.209608555 0.999320805073 -0.0102749578655 -0.035387981683 34961.3189697 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260505v1_front_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_3910220212455,1,33,1,257,1285,0.15625,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/front/EPnPv2_gt_mesh_z_hybrid_labels/3910220212455_0.json,0,187.60682010205005,2.314529697343647,1.2616767341855417,1.615229842842094,1.057756716241247,0 -0.999932527542 0.0116151887923 -5346.23095703 0 -0.0116151887923 -0.999932527542 996.19720459 1 0 0 44779.4570312 0 0 0 1,0.00797031332005 -0.999966210215 -0.00200618564143 -4609.24269645 0.00973397514217 0.00208373945325 -0.999950438774 233.888294566 0.999920858783 0.00795039036103 0.00975025456016 37560.0356903 0 0 0 1,-0.0111656459048 -0.999643862247 -0.0242387056351 -4536.72647476 -0.017999663949 0.0244372244924 -0.999539315701 68.0220127106 0.999775648117 -0.0107241990045 -0.0182661097497 37609.2910767 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260505v1_front_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_3910734378741,1,34,1,268,1340,0.140625,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/front/EPnPv2_gt_mesh_z_hybrid_labels/3910734378741_0.json,0,785.1773429404587,2.561350072325714,1.849774489519988,1.336317393939283,1.1420693713066574,0 -0.999844074249 0.0176600199193 -5478.01660156 0 -0.0176600199193 -0.999844074249 1104.98498535 1 0 0 45335.578125 0 0 0 1,0.00791132170947 -0.999960572505 0.00403900215914 -4736.43327927 0.00978198177588 -0.00396154510702 -0.999944332504 347.145402686 0.999920858783 0.00795039036103 0.00975025456016 38116.1567841 0 0 0 1,-0.0126738520339 -0.99951583147 -0.0284176953137 -4637.15696335 -0.012964126654 0.0285818446428 -0.999507367611 145.881444216 0.99983561039 -0.0122991986573 -0.0133200930431 38868.5798645 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260505v1_front_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_3912228944910,1,36,1,290,1450,0.1640625,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/front/EPnPv2_gt_mesh_z_hybrid_labels/3912228944910_0.json,0,2635.7333928827898,1.8069677769954058,1.1508696464317858,0.7933079998024108,1.1531247870661034,0 -0.999619185925 -0.0275953467935 -5701.625 0 0.0275953467935 -0.999619185925 1033.07873535 1 0 0 52535.53125 0 0 0 1,0.00834579928554 -0.999115786475 -0.0412069518795 -4995.08905548 0.00941402190018 0.0412850643787 -0.999103067598 242.462783471 0.999920858783 0.00795039036103 0.00975025456016 45316.1099091 0 0 0 1,-0.0120684774593 -0.99970138073 -0.0212448108941 -4629.17566299 -0.00400081602857 0.0212944671512 -0.999765276909 126.15197897 0.999919176102 -0.0119806444272 -0.00425661401823 42708.4922791 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260505v1_front_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_3912323753840,1,37,1,301,1505,0.08984375,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/front/EPnPv2_gt_mesh_z_hybrid_labels/3912323753840_0.json,0,1227.961849186581,1.4182262889018946,0.13858918682631077,0.7946291351222371,1.1673472572963688,0 -0.999958515167 -0.00911115389317 -5265.82568359 0 0.00911115389317 -0.999958515167 931.518859863 1 0 0 48858.4257812 0 0 0 1,0.00817034069501 -0.99970827694 -0.02272997429 -4544.79473476 0.00956669801756 0.0228078383138 -0.999694116208 154.09939564 0.999920858783 0.00795039036103 0.00975025456016 41639.0044403 0 0 0 1,-0.0124815311283 -0.999713480473 -0.0204231329262 -4641.48759842 -0.00388287054375 0.0204730257392 -0.999782800674 112.147539854 0.999914526939 -0.0123995244503 -0.00413729296997 42862.4343872 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260505v1_front_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_3913217406433,1,38,1,312,1560,0.171875,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/front/EPnPv2_gt_mesh_z_hybrid_labels/3913217406433_0.json,0,1597.7636399812734,1.5788154670360839,0.36661415179590506,0.46839389806707743,1.4638263365399646,0 -0.99993622303 -0.0112929651514 -5848.45751953 0 0.0112929651514 -0.99993622303 1031.12561035 1 0 0 53845.328125 0 0 0 1,0.00819119479059 -0.999656100285 -0.0249111757958 -5129.1245801 0.00954884787847 0.0249890705294 -0.999642109481 252.134787015 0.999920858783 0.00795039036103 0.00975025456016 46625.9067841 0 0 0 1,-0.0175036266446 -0.999674141407 -0.018580628559 -4855.70430756 0.00184989627451 0.0185510646552 -0.999826133251 135.86845994 0.999845027924 -0.0175349581987 0.00152458169032 45056.0112 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260505v1_front_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_3913318165298,1,39,1,324,1620,0.12109375,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/front/EPnPv2_gt_mesh_z_hybrid_labels/3913318165298_0.json,0,228.48005988970368,1.847222682992838,1.06099466029468,0.45565591393377736,1.4377088975793946,0 -0.999913215637 0.013174998574 -5739.62744141 0 -0.013174998574 -0.999913215637 1032.34521484 1 0 0 52592.984375 0 0 0 1,0.00795511950148 -0.999968267624 -0.000446331667682 -5001.45091244 0.00974639665043 0.000523860784646 -0.999952375224 271.186863624 0.999920858783 0.00795039036103 0.00975025456016 45373.5630341 0 0 0 1,-0.0172832105309 -0.999669671059 -0.0190251227468 -4850.31795502 0.0022724380251 0.0189886428416 -0.999817073345 133.27512145 0.99984806776 -0.0173232778907 0.00194350245874 45271.8658447 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260505v1_front_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_3913722227868,1,40,1,339,1695,0.12890625,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/front/EPnPv2_gt_mesh_z_hybrid_labels/3913722227868_0.json,0,1058.1564121805395,1.7185678391523798,1.0463041722239488,0.5887247779658922,1.2241828734152418,0 -0.999857723713 0.016869943589 -5291.02294922 0 -0.016869943589 -0.999857723713 792.91217041 1 0 0 52352.2929688 0 0 0 1,0.00791904895788 -0.999963397479 0.0032488507656 -4550.03869383 0.00977572730807 -0.00317138090438 -0.999947218689 34.4868244088 0.999920858783 0.00795039036103 0.00975025456016 45132.8716278 0 0 0 1,-0.013598702848 -0.999793589115 -0.0150920348242 -4679.91018295 -0.000175658802618 0.0150958197191 -0.999885976315 -80.5849730968 0.999907433987 -0.0135945007205 -0.000380907033104 46176.7044067 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260505v1_front_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_3914253341991,1,41,1,350,1750,0.2109375,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/front/EPnPv2_gt_mesh_z_hybrid_labels/3914253341991_0.json,0,1090.3133714123041,1.3738970656603906,0.41597253408136237,0.26488123267822716,1.283207508437324,0 -0.999944388866 -0.010544561781 -5508.65966797 0 0.010544561781 -0.999944388866 745.026611328 1 0 0 55715.25 0 0 0 1,0.00818404562996 -0.999674517023 -0.0241629886542 -4788.74390052 0.00955497582619 0.0242408728941 -0.999660467922 -33.4256057165 0.999920858783 0.00795039036103 0.00975025456016 48495.8286591 0 0 0 1,-0.0142865981907 -0.999754369259 -0.0169423427433 -4707.87286758 0.00531179644167 0.0168679505587 -0.999843597412 110.390812159 0.999883830547 -0.0143743595108 0.00506950635463 47418.0717468 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260505v1_front_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
