match_key,scene_id,im_id,obj_id,instance_id,prediction_row_index,score,epnp_label_path,epnp_record_index,translation_error_mm,rotation_error_deg,roll_error_deg,pitch_error_deg,yaw_error_deg,T_gigapose_cam_obj,T_gigapose_aligned_epnp_obj,T_epnp_obj,source_selected_csv
image_3615672208785,1,38,1,514,2570,0.078125,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3615672208785_0.json,0,2515.518015210133,12.653065859983725,0.2335707596736315,4.692885296508792,11.742008789398804,0 -0.999805867672 0.0197018329054 -874.767456055 0 -0.0197018329054 -0.999805867672 -1655.37316895 1 0 0 45195.375 0 0 0 1,-0.0257443709284 0.999216880794 0.0300464266113 -1698.33540086 -0.0361170189515 0.0291070677479 -0.998923558037 -2108.86123407 -0.999015909873 -0.0268018477019 0.0353393941598 39264.8094788 0 0 0 1,0.176167398691 0.984072983265 0.0237794592977 -951.01505518 0.0498772971332 0.0152024878189 -0.998639583588 -1690.58918953 -0.983095765114 0.177113845944 -0.0464047193527 36899.5628357 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260505v1_rear_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_3616457055512,1,40,1,558,2790,0.13671875,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3616457055512_0.json,0,3694.0434204407306,14.889965631487428,0.09822854880645814,4.934474982871258,14.048321780342313,0 -0.999834299088 0.0182044506073 -1566.49035645 0 -0.0182044506073 -0.999834299088 -1165.94238281 1 0 0 36983.171875 0 0 0 1,-0.0257984339664 0.999259398611 0.0285503545825 -2390.73658292 -0.0360784240107 0.0276105574338 -0.998967483001 -1618.19654225 -0.999015909873 -0.0268018477019 0.0353393941598 31052.6063538 0 0 0 1,0.215398356318 0.976218342781 0.0245186146349 -1499.94170666 0.0547782443464 0.0129894949496 -0.998413980007 -1691.8926239 -0.974988639355 0.216399878263 -0.0506776198745 34636.8789673 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260505v1_rear_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_3617065037718,1,42,1,593,2965,0.09375,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3617065037718_0.json,0,2299.357256118916,5.33896476696001,1.7926533436058742,4.884369884466305,1.27726757333989,-0.308824270964 -0.950478196144 0.0349099449813 -3124.2331543 -0.0107876146212 -0.0332013778389 -0.999390423298 -1742.49414062 0.951057910919 -0.309012651443 0 42362.2148438 0 0 0 1,0.28462220406 0.958042993037 0.0338195267553 -2068.59240497 -0.0256823050711 0.04288638123 -0.998749768366 -2143.06017602 -0.958295661268 0.283397833245 0.0368111719569 36464.6991752 0 0 0 1,0.261823236942 0.964707911015 0.0280531737953 -2255.8529377 0.0592483878136 0.0129458121955 -0.99815928936 -1750.08368492 -0.963295519352 0.263003468513 -0.0537678860128 34206.9244385 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260505v1_rear_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_3617454591731,1,43,1,605,3025,0.08203125,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3617454591731_0.json,0,3474.6157822607015,6.506147372842684,5.054519147460536,4.010113929203668,0.6847893139104476,-0.307634532452 -0.946816444397 0.0943377837539 -4220.32958984 -0.0291515681893 -0.0897206962109 -0.995540261269 -1695.20251465 0.951057910919 -0.309012651443 0 44224.0351562 0 0 0 1,0.285646290524 0.953791317963 0.0932111627888 -3142.71650915 -0.00869433620068 0.099838828535 -0.994965650612 -2032.22016845 -0.958295661268 0.283397833245 0.0368111719569 38326.5194877 0 0 0 1,0.295763134956 0.954827904701 0.0287706144154 -2920.16577721 0.0613885484636 0.0110576087609 -0.998052597046 -1817.88015366 -0.953286707401 0.296953439713 -0.0553450658917 34865.6692505 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260505v1_rear_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_3707355234778,1,100,1,8,40,0.078125,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3707355234778_0.json,0,594.2715437885472,12.609907761519924,5.037715327027852,4.954844872528164,10.235695369235502,-0.30791592598 -0.947682440281 0.0841763913631 -12085.6513672 -0.0260115694255 -0.0800566226244 -0.996450841427 -1523.67724609 0.951057910919 -0.309012651443 0 47474.9492188 0 0 0 1,0.285542726719 0.954760175871 0.0830556905989 -11011.5325682 -0.0116080402331 0.0901030704559 -0.995864766947 -1871.67112976 -0.958295661268 0.283397833245 0.0368111719569 41577.4335502 0 0 0 1,0.450341582298 0.892545342445 0.0235625784844 -10639.0943527 0.0740193426609 -0.0110218310729 -0.997195839882 -1694.77629662 -0.889782905579 0.450822860003 -0.0710292235017 42005.4016113 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260505v1_rear_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_3749562578765,1,171,1,162,810,0.09765625,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3749562578765_0.json,0,530.4193778732013,4.354936096917135,0.6975292983996159,3.695033149068521,2.2197049960369557,0 -0.999991834164 -0.00404775794595 4673.59033203 0 0.00404775794595 -0.999991834164 -1024.24938965 1 0 0 45713.6796875 0 0 0 1,-0.0265948418152 0.999626374959 0.00631487244933 3839.48488961 -0.0354954407268 0.00536881244818 -0.999355443413 -1458.05095683 -0.999015909873 -0.0268018477019 0.0353393941598 39783.1141663 0 0 0 1,0.0110011119395 0.999799489975 0.0167313870043 3888.90385628 0.0296310130507 0.0163990929723 -0.999426305294 -1451.35712624 -0.999500274658 0.0114906579256 -0.0294446628541 40311.1839294 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260505v1_rear_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_3750957051344,1,172,1,163,815,0.1328125,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3750957051344_0.json,0,926.4292557296283,4.501259919548746,1.1224892964325464,3.6416214628785206,2.432243713258087,0 -0.99995303154 -0.00969196110964 4958.15478516 0 0.00969196110964 -0.99995303154 -1112.13818359 1 0 0 45133.25 0 0 0 1,-0.0267947648769 0.999640728245 0.000674095929285 4121.61413948 -0.03534476473 -0.000273478199265 -0.999375140881 -1541.22487617 -0.999015909873 -0.0268018477019 0.0353393941598 39202.6844788 0 0 0 1,0.0144119067118 0.999724626541 0.0185140240937 3936.5260601 0.0289844051003 0.0180904716253 -0.9994161129 -1459.80215073 -0.999476015568 0.0149401389062 -0.0287157148123 38298.5916138 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260505v1_rear_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_3751356446550,1,173,1,164,820,0.09375,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3751356446550_0.json,0,1413.660421115575,4.280922506967791,0.16081952568993874,3.580000088642316,2.347187979446311,0 -0.999980032444 0.00631716288626 4714.75292969 0 -0.00631716288626 -0.999980032444 -971.993103027 1 0 0 43072.6171875 0 0 0 1,-0.0262255094608 0.99951699213 0.0166726401696 3885.18858692 -0.0357691825169 0.0157294391732 -0.999236269437 -1414.41667661 -0.999015909873 -0.0268018477019 0.0353393941598 37142.0516663 0 0 0 1,0.0135652171448 0.999749481678 0.0178024582565 3978.50084305 0.0274287294596 0.0174253471196 -0.999471843243 -1434.47697163 -0.999531745911 0.0140463756397 -0.0271854829043 38552.4864197 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260505v1_rear_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_3751858064350,1,174,1,165,825,0.09375,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3751858064350_0.json,0,89.58699881957817,4.316018988135387,0.967613497888705,3.5360945768839978,2.2484309344600666,0 -0.999659776688 0.0260826982558 4828.34082031 0 -0.0260826982558 -0.999659776688 -1042.68762207 1 0 0 45058.2890625 0 0 0 1,-0.0255133300204 0.999010772834 0.0364214501252 4007.68402335 -0.0362805976303 0.0354839825098 -0.998711460581 -1501.42288644 -0.999015909873 -0.0268018477019 0.0353393941598 39127.7235413 0 0 0 1,0.0125624248758 0.999760210514 0.017934916541 4005.09309769 0.0261251777411 0.0176020432264 -0.999503672123 -1421.99838161 -0.999579787254 0.0130247529596 -0.0258977990597 39086.3609314 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260505v1_rear_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_3752169077936,1,176,1,167,835,0.07421875,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3752169077936_0.json,0,441.72621125855164,4.419889355218135,1.4490654756431487,3.5198414512460676,2.2028401222892753,0 -0.999410808086 0.0343218408525 4914.34619141 0 -0.0343218408525 -0.999410808086 -1086.2208252 1 0 0 45998.5664062 0 0 0 1,-0.0252134080318 0.998684333069 0.0446524245495 4097.49856269 -0.0364896667698 0.0437174559749 -0.998377303599 -1551.7050368 -0.999015909873 -0.0268018477019 0.0353393941598 40068.000885 0 0 0 1,0.0120814731345 0.999768555164 0.0177986267954 3994.16208267 0.0256130024791 0.0174846630543 -0.999518990517 -1441.50090218 -0.99959897995 0.0125315859914 -0.0253958329558 39652.9121399 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260505v1_rear_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
