match_key,scene_id,im_id,obj_id,instance_id,prediction_row_index,score,epnp_label_path,epnp_record_index,translation_error_mm,rotation_error_deg,roll_error_deg,pitch_error_deg,yaw_error_deg,T_gigapose_cam_obj,T_gigapose_aligned_epnp_obj,T_epnp_obj,source_selected_csv
image_3907533864772,1,3,1,64,320,0.1640625,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3907533864772_0.json,0,3541.2829070982475,7.161870982490708,4.7825976920177,3.6452055440220605,4.0480663864254,0 -0.997230052948 -0.0743798688054 -5495.13525391 0 0.0743798688054 -0.997230052948 1921.60388184 1 0 0 39425.6835938 0 0 0 1,0.0706655451017 -0.992997690859 -0.0946684217185 -4469.29936749 0.0522290590662 0.0984588388816 -0.993769654307 729.317003806 0.996131772022 0.0652808223772 0.058820974134 26243.1120511 0 0 0 1,-0.000797822896857 -0.999871373177 -0.0160168558359 -4115.02313614 -0.0102547230199 0.0160242002457 -0.999819040298 809.591174126 0.999947190285 -0.000633433170151 -0.0102661987767 29765.7146454 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260505v1_stereo_left_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_3907635703914,1,4,1,75,375,0.15234375,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3907635703914_0.json,0,1240.224386631595,6.132494957591303,2.932497896840218,3.766430700076632,3.9491157048567334,0 -0.999133706093 -0.0416154973209 -5739.29003906 0 0.0416154973209 -0.999133706093 1928.08654785 1 0 0 41699.296875 0 0 0 1,0.0689135752948 -0.99569378001 -0.0620066759116 -4674.88156013 0.0545198312829 0.0658203835829 -0.996340944341 770.104885222 0.996131772022 0.0652808223772 0.058820974134 28516.7253323 0 0 0 1,-0.000821139081381 -0.999879658222 -0.0154895354062 -4120.96452713 -0.0101391179487 0.0154970688745 -0.999828517437 786.598980427 0.999948322773 -0.00066394766327 -0.0101506300271 29626.2569427 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260505v1_stereo_left_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_3907877665582,1,5,1,86,430,0.1875,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3907877665582_0.json,0,1752.7410867155504,6.422498649018005,3.5659396076882715,3.672805141076621,3.99651680741542,0 -0.998651444912 -0.0519174151123 -5743.33007812 0 0.0519174151123 -0.998651444912 1811.5177002 1 0 0 42341.4492188 0 0 0 1,0.0694721807715 -0.994962075062 -0.0722787085155 -4690.9204823 0.0538062249492 0.0760855393412 -0.995648536019 642.620242749 0.996131772022 0.0652808223772 0.058820974134 29158.8776761 0 0 0 1,-0.00101820169948 -0.999891638756 -0.014684128575 -4142.6692009 -0.00926232710481 0.0146929379553 -0.999849140644 739.379048347 0.999956667423 -0.000882019056007 -0.00927629228681 30820.8522797 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260505v1_stereo_left_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_3908165314709,1,7,1,108,540,0.1640625,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3908165314709_0.json,0,1073.2534237133482,6.492749347904507,3.7464843447436302,3.6401195853839994,3.97901501831995,0 -0.998453438282 -0.0555951595306 -5777.63623047 0 0.0555951595306 -0.998453438282 1797.47595215 1 0 0 43821.2265625 0 0 0 1,0.0696698801039 -0.994675080766 -0.0759452545579 -4729.53891619 0.0535499885243 0.0797495312149 -0.995375557858 624.710351717 0.996131772022 0.0652808223772 0.058820974134 30638.6550198 0 0 0 1,-0.000540062028449 -0.999884486198 -0.0151905221865 -4141.20817184 -0.00891667883843 0.0151947354898 -0.99984484911 677.022576332 0.999960124493 -0.000404520978918 -0.0089238602668 31534.7595215 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260505v1_stereo_left_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_3910894492662,1,13,1,35,175,0.2109375,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3910894492662_0.json,0,3549.809794075885,4.872188382740869,1.697460827332473,2.501741990693004,3.784383250028633,0 -0.999674320221 0.0255201999098 -5058.06787109 0 -0.0255201999098 -0.999674320221 2069.91943359 1 0 0 48468.5546875 0 0 0 1,0.0650999794489 -0.997866295553 0.00498758331432 -3918.35768151 0.0590210611003 -0.00113904599771 -0.998256101426 985.969406382 0.996131772022 0.0652808223772 0.058820974134 35285.9831448 0 0 0 1,-0.00201612315141 -0.999622702599 -0.0273915249854 -4142.42982864 0.0172517690808 0.0273527354002 -0.999476969242 982.772171497 0.999849200249 -0.00248762313277 0.0171901099384 38828.7124634 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260505v1_stereo_left_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_3910978958944,1,14,1,46,230,0.20703125,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3910978958944_0.json,0,246.07254710399792,6.517665779111852,4.675769452695205,2.0440891390823777,4.140467904353153,0 -0.996355891228 -0.0852931290865 -5378.48828125 0 0.0852931290865 -0.996355891228 2154.69750977 1 0 0 52184.6367188 0 0 0 1,0.0712331105465 -0.991860165379 -0.105542579797 -4365.76717466 0.0514522747273 0.10932431799 -0.992673580174 951.251282841 0.996131772022 0.0652808223772 0.058820974134 39002.0651761 0 0 0 1,-0.00186091254 -0.999637365341 -0.0268631372601 -4142.99440384 0.0177956260741 0.0268258266151 -0.999481737614 983.981728554 0.999840021133 -0.00233799568377 0.017739251256 39101.3259888 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260505v1_stereo_left_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_3911068154840,1,15,1,48,240,0.2265625,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3911068154840_0.json,0,3172.611679258055,4.804495885683988,1.6506295202314811,2.432406693693859,3.7659189090228717,0 -0.999700844288 0.0244594905525 -5140.34033203 0 -0.0244594905525 -0.999700844288 2161.24438477 1 0 0 49357.8359375 0 0 0 1,0.0651625671304 -0.997866951223 0.00392839012187 -4001.78088912 0.0589519546648 -8.02685376079e-05 -0.998260840335 1076.08567917 0.996131772022 0.0652808223772 0.058820974134 36175.2643948 0 0 0 1,-0.00160819722805 -0.999618828297 -0.0275599211454 -4140.37704468 0.0183970015496 0.0275257192552 -0.999451816082 1000.60141087 0.999829590321 -0.00211434299126 0.0183457192034 39343.9483643 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260505v1_stereo_left_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_3911151985288,1,16,1,49,245,0.1875,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3911151985288_0.json,0,1723.8371167900061,6.629892930513099,4.904167144480631,1.9082483036455624,4.117020136538578,0 -0.995927333832 -0.0901595428586 -5474.74951172 0 0.0901595428586 -0.995927333832 2264.91967773 1 0 0 54372.6367188 0 0 0 1,0.0714836175181 -0.99131426363 -0.110390763166 -4467.91959623 0.0511036708573 0.114168482545 -0.992146143398 1056.54042203 0.996131772022 0.0652808223772 0.058820974134 41190.0651761 0 0 0 1,-0.00116583216004 -0.999618172646 -0.0276061221957 -4124.40252304 0.0198648944497 0.0275775454938 -0.999422252178 1043.70284081 0.999802052975 -0.00171354715712 0.0198251586407 39500.8506775 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260505v1_stereo_left_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_3911339005362,1,17,1,50,250,0.1796875,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3911339005362_0.json,0,166.12482915511083,4.425229733278821,0.7181777216337779,2.237378022536905,3.7360601359933394,0 -0.999962091446 0.00870358478278 -5355.05810547 0 -0.00870358478278 -0.999962091446 2175.96826172 1 0 0 53263.7382812 0 0 0 1,0.0660834133646 -0.997744268594 -0.0118022744505 -4233.7395626 0.0579178276333 0.0156437113105 -0.99819874587 1073.00340302 0.996131772022 0.0652808223772 0.058820974134 40081.1667386 0 0 0 1,-5.28527452843e-05 -0.999638915062 -0.0268686581403 -4079.44583893 0.0207093562931 0.0268618036062 -0.999424636364 1049.60501194 0.999785602093 -0.000609264068771 0.0207004584372 40024.2156982 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260505v1_stereo_left_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
image_3912040577642,1,18,1,51,255,0.1328125,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3912040577642_0.json,0,1883.6540887615736,4.253598769442765,0.04591400916101865,1.8854898309358616,3.812087373134867,0 -0.999998986721 0.00145601923577 -5183.93896484 0 -0.00145601923577 -0.999998986721 2165.88110352 1 0 0 53028.7460938 0 0 0 1,0.0665014488739 -0.997604762181 -0.0190365229874 -4070.64364651 0.0574373640363 0.0228745653806 -0.9980870688 1054.81824482 0.996131772022 0.0652808223772 0.058820974134 39846.1745511 0 0 0 1,-0.000656926247757 -0.999757409096 -0.0220132432878 -4058.34960938 0.0260873772204 0.0219886247069 -0.999417841434 1118.77083778 0.999659538269 -0.00123082299251 0.0260666012764 41728.7025452 0 0 0 1,gigaPose_datasets/results/real_world_ot2_IST_tran/large_real_20260505v1_stereo_left_gsam_v4_ot2blocks_IST_tran/predictions/label_candidates_for_optimization_new/selected_samples.csv
