match_key,scene_id,im_id,instance_id,score,target_pose_path,source_csv_epnp_label_path,target_pose_key,camera_pose_key,translation_error_mm,rotation_error_deg,image_center_error_px
image_3907722560986,1,26,179,0.109375,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/front/EPnPv2_gt_mesh_z_hybrid_labels/3907722560986_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/front/EPnPv2_gt_mesh_z_hybrid_labels/3907722560986_0.json,T_map_object_raw,T_camera_object_centered,4551.05431824213,2.532805239823233,19.229047686150277
image_3909217666637,1,31,235,0.15234375,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/front/EPnPv2_gt_mesh_z_hybrid_labels/3909217666637_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/front/EPnPv2_gt_mesh_z_hybrid_labels/3909217666637_0.json,T_map_object_raw,T_camera_object_centered,9073.265788366436,2.393739398688273,18.088861681124566
image_3910220212455,1,33,257,0.15625,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/front/EPnPv2_gt_mesh_z_hybrid_labels/3910220212455_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/front/EPnPv2_gt_mesh_z_hybrid_labels/3910220212455_0.json,T_map_object_raw,T_camera_object_centered,7288.535967681454,2.3440972118511696,17.1768306275765
image_3910734378741,1,34,268,0.140625,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/front/EPnPv2_gt_mesh_z_hybrid_labels/3910734378741_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/front/EPnPv2_gt_mesh_z_hybrid_labels/3910734378741_0.json,T_map_object_raw,T_camera_object_centered,6616.074389640973,2.796811809869784,19.928651009965684
image_3912228944910,1,36,290,0.1640625,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/front/EPnPv2_gt_mesh_z_hybrid_labels/3912228944910_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/front/EPnPv2_gt_mesh_z_hybrid_labels/3912228944910_0.json,T_map_object_raw,T_camera_object_centered,9961.13311542214,0.6918321127743531,17.062279055434537
image_3912323753840,1,37,301,0.08984375,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/front/EPnPv2_gt_mesh_z_hybrid_labels/3912323753840_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/front/EPnPv2_gt_mesh_z_hybrid_labels/3912323753840_0.json,T_map_object_raw,T_camera_object_centered,6115.562975745855,0.8805425754715627,16.365974167268142
image_3913217406433,1,38,312,0.171875,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/front/EPnPv2_gt_mesh_z_hybrid_labels/3913217406433_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/front/EPnPv2_gt_mesh_z_hybrid_labels/3913217406433_0.json,T_map_object_raw,T_camera_object_centered,8931.603408771285,0.9511812912325706,17.642328872733096
image_3913318165298,1,39,324,0.12109375,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/front/EPnPv2_gt_mesh_z_hybrid_labels/3913318165298_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/front/EPnPv2_gt_mesh_z_hybrid_labels/3913318165298_0.json,T_map_object_raw,T_camera_object_centered,7475.727823403298,2.0233510260342307,18.967764192906312
image_3913722227868,1,40,339,0.12890625,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/front/EPnPv2_gt_mesh_z_hybrid_labels/3913722227868_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/front/EPnPv2_gt_mesh_z_hybrid_labels/3913722227868_0.json,T_map_object_raw,T_camera_object_centered,6301.926172137092,1.928195079063174,16.93614090377809
image_3914253341991,1,41,350,0.2109375,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/front/EPnPv2_gt_mesh_z_hybrid_labels/3914253341991_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/front/EPnPv2_gt_mesh_z_hybrid_labels/3914253341991_0.json,T_map_object_raw,T_camera_object_centered,8413.443086577314,0.8183010550693236,15.225239919992605
