match_key,metadata_path,epnp_label_path,target_label_path,correction_kind,map_z_mode,translation_error_mm,rotation_error_deg,output,raw_map_object_z_m,label_map_pose_z_m,adjusted_map_object_z_m,metadata_lidar_z_m,metadata_ground_truth_pose_z_m,object_minus_ego_z_m,adjusted_minus_lidar_z_m,projection_model,metadata_distortion_model,original_center_u,original_center_v,original_center_depth_mm,original_center_valid_depth,optimized_center_u,optimized_center_v,optimized_center_depth_mm,optimized_center_valid_depth,gigapose_center_u,gigapose_center_v,gigapose_center_depth_mm,gigapose_center_valid_depth
image_3600758676784,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/metadata/sample_3600758676784_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3600758676784_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3600758676784_0.json,epnp_label,raw,3265.454401437914,3.761563046002173,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_front_epnp_hybrid_xyz_new/3600758676784_0_extrinsic_before_after.jpg,-35.263675689697266,-35.263675689697266,-35.263675689697266,nan,nan,nan,nan,metadata,pinhole,1035.8887342722762,164.09046295687529,49861.377716064446,True,1039.467339770249,172.77600689667435,49914.42977995791,True,1048.5123699227229,173.3260683626798,55520.1757812,True
image_3600945537333,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/metadata/sample_3600945537333_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3600945537333_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3600945537333_0.json,epnp_label,raw,3116.4310733777834,3.704878214304081,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_front_epnp_hybrid_xyz_new/3600945537333_0_extrinsic_before_after.jpg,-35.278690338134766,-35.278690338134766,-35.278690338134766,nan,nan,nan,nan,metadata,pinhole,1047.5797132282387,163.82768608331963,49797.85537719725,True,1051.2141586077787,172.5314836179762,49848.91075525977,True,1058.7400276291771,172.68849271452686,61544.4257812,True
image_3601345540600,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/metadata/sample_3601345540600_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3601345540600_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3601345540600_0.json,epnp_label,raw,933.7646145879197,4.849263735486188,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_front_epnp_hybrid_xyz_new/3601345540600_0_extrinsic_before_after.jpg,-35.300601959228516,-35.300601959228516,-35.300601959228516,nan,nan,nan,nan,metadata,pinhole,1069.0448486230462,161.24892698284734,49759.44900512697,True,1072.7918076414144,169.9750427958239,49806.16187120377,True,1076.2546883681603,175.35702288810967,58753.1210938,True
image_3601444255428,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/metadata/sample_3601444255428_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3601444255428_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3601444255428_0.json,epnp_label,raw,3387.0747069934905,5.385611919379247,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_front_epnp_hybrid_xyz_new/3601444255428_0_extrinsic_before_after.jpg,-35.30765914916992,-35.30765914916992,-35.30765914916992,nan,nan,nan,nan,metadata,pinhole,1075.1344247896236,161.15823063375683,49775.844573974595,True,1078.908076572122,169.88407332263262,49821.53886568094,True,1084.5072890434892,176.49632580793468,61725.8476562,True
image_3601545753617,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/metadata/sample_3601545753617_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3601545753617_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3601545753617_0.json,epnp_label,raw,3634.4607624010955,4.848868348209027,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_front_epnp_hybrid_xyz_new/3601545753617_0_extrinsic_before_after.jpg,-35.311771392822266,-35.311771392822266,-35.311771392822266,nan,nan,nan,nan,metadata,pinhole,1080.63270300209,161.93073957250888,49821.804046630845,True,1084.4254395076537,170.65372740522187,49866.30190228613,True,1088.6897069719505,177.50370566269717,55096.90625,True
image_3601844046190,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/metadata/sample_3601844046190_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3601844046190_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3601844046190_0.json,epnp_label,raw,1174.4322932158852,4.7906888000853645,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_front_epnp_hybrid_xyz_new/3601844046190_0_extrinsic_before_after.jpg,-35.331722259521484,-35.331722259521484,-35.331722259521484,nan,nan,nan,nan,metadata,pinhole,1095.4204897019188,163.08004022158255,49992.50411987306,True,1099.2713528127535,171.78586287103823,50034.32639925277,True,1102.640521068551,176.56481691507457,58506.5078125,True
image_3601944755461,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/metadata/sample_3601944755461_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3601944755461_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3601944755461_0.json,epnp_label,raw,1577.9016581630458,5.5950540886643765,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_front_epnp_hybrid_xyz_new/3601944755461_0_extrinsic_before_after.jpg,-35.33747863769531,-35.33747863769531,-35.33747863769531,nan,nan,nan,nan,metadata,pinhole,1099.9229165114632,163.24366387281376,50068.03512573244,True,1103.7929311769294,171.94017850576216,50109.13628407418,True,1105.1049791132664,178.68419410204785,57638.6523438,True
image_3602044371886,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/metadata/sample_3602044371886_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3602044371886_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3602044371886_0.json,epnp_label,raw,2156.820262255433,5.487910799254759,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_front_epnp_hybrid_xyz_new/3602044371886_0_extrinsic_before_after.jpg,-35.344642639160156,-35.344642639160156,-35.344642639160156,nan,nan,nan,nan,metadata,pinhole,1104.3808624680717,162.84061121344635,50132.87353515625,True,1108.2734663287479,171.5279701713646,50173.51823039222,True,1112.8280676940212,178.20948374802285,60550.921875,True
image_3602144419084,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/metadata/sample_3602144419084_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3602144419084_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3602144419084_0.json,epnp_label,raw,1235.018694614814,5.160623035227985,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_front_epnp_hybrid_xyz_new/3602144419084_0_extrinsic_before_after.jpg,-35.3485221862793,-35.3485221862793,-35.3485221862793,nan,nan,nan,nan,metadata,pinhole,1108.9203245388308,162.69122662717842,50202.80456542969,True,1112.8472143032154,171.3638074226991,50242.63808316519,True,1115.1979853629553,177.6111970989502,58862.1757812,True
image_3602444814967,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/metadata/sample_3602444814967_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3602444814967_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/front/EPnPv2_gt_mesh_z_hybrid_labels/3602444814967_0.json,epnp_label,raw,1273.1669671885697,6.0033193177867865,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_front_epnp_hybrid_xyz_new/3602444814967_0_extrinsic_before_after.jpg,-35.36614227294922,-35.36614227294922,-35.36614227294922,nan,nan,nan,nan,metadata,pinhole,1121.892171159831,163.4117514756101,50275.672912597656,True,1125.870513739309,172.09188771774112,50312.99916566587,True,1127.1849567661684,178.77490706500376,59114.4296875,True
