match_key,scene_id,im_id,instance_id,score,target_pose_path,source_csv_epnp_label_path,target_pose_key,camera_pose_key,translation_error_mm,rotation_error_deg,image_center_error_px
image_3615672208785,1,38,514,0.078125,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3615672208785_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3615672208785_0.json,T_map_object_raw,T_camera_object_centered,8296.237511539599,169.79542615737375,11.444597637552988
image_3616457055512,1,40,558,0.13671875,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3616457055512_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3616457055512_0.json,T_map_object_raw,T_camera_object_centered,2405.440254979298,167.49930437635265,17.70917773269966
image_3617065037718,1,42,593,0.09375,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3617065037718_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3617065037718_0.json,T_map_object_raw,T_camera_object_centered,8201.396053332199,177.28274589143263,12.974956784285206
image_3617454591731,1,43,605,0.08203125,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3617454591731_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3617454591731_0.json,T_map_object_raw,T_camera_object_centered,9449.047147704285,179.40689688798292,18.46444996286531
image_3707355234778,1,100,8,0.078125,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3707355234778_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3707355234778_0.json,T_map_object_raw,T_camera_object_centered,5660.190053538664,171.0161464417841,8.527347207904132
image_3749562578765,1,171,162,0.09765625,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3749562578765_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3749562578765_0.json,T_map_object_raw,T_camera_object_centered,5475.866843760857,179.35887290818343,15.079456447686312
image_3750957051344,1,172,163,0.1328125,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3750957051344_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3750957051344_0.json,T_map_object_raw,T_camera_object_centered,6919.331332187815,179.16705290650407,15.53763834263472
image_3751356446550,1,173,164,0.09375,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3751356446550_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3751356446550_0.json,T_map_object_raw,T_camera_object_centered,4602.992516654957,179.20400375657093,16.25995330893559
image_3751858064350,1,174,165,0.09375,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3751858064350_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3751858064350_0.json,T_map_object_raw,T_camera_object_centered,6040.3256612411515,179.2471883810482,14.34083992122361
image_3752169077936,1,176,167,0.07421875,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3752169077936_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3752169077936_0.json,T_map_object_raw,T_camera_object_centered,6421.859861660143,179.2695179268559,14.424680230268311
