match_key,metadata_path,epnp_label_path,target_label_path,correction_kind,map_z_mode,translation_error_mm,rotation_error_deg,output,raw_map_object_z_m,label_map_pose_z_m,adjusted_map_object_z_m,metadata_lidar_z_m,metadata_ground_truth_pose_z_m,object_minus_ego_z_m,adjusted_minus_lidar_z_m,projection_model,metadata_distortion_model,original_center_u,original_center_v,original_center_depth_mm,original_center_valid_depth,optimized_center_u,optimized_center_v,optimized_center_depth_mm,optimized_center_valid_depth,gigapose_center_u,gigapose_center_v,gigapose_center_depth_mm,gigapose_center_valid_depth
image_3615672208785,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/metadata/sample_3615672208785_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3615672208785_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3615672208785_0.json,epnp_label,raw,2515.518015210133,12.653065859983725,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_rear_epnp_hybrid_xyz_new/3615672208785_0_extrinsic_before_after.jpg,-36.84343719482422,-36.84343719482422,-36.84343719482422,nan,nan,nan,nan,metadata,pinhole,1011.7114267610012,104.68644034188881,36899.562835693476,True,1020.2426386872484,116.10382355390476,37016.32567212399,True,1018.2667317842598,114.06763382339872,45195.375,True
image_3616457055512,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/metadata/sample_3616457055512_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3616457055512_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3616457055512_0.json,epnp_label,raw,3694.0434204407306,14.889965631487428,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_rear_epnp_hybrid_xyz_new/3616457055512_0_extrinsic_before_after.jpg,-36.95985412597656,-36.95985412597656,-36.95985412597656,nan,nan,nan,nan,metadata,pinhole,993.8041910021541,101.59242773579925,34636.878967285156,True,1002.8882754787783,113.9781377061688,34780.59631140577,True,994.7724140197834,119.27511758085615,36983.171875,True
image_3617065037718,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/metadata/sample_3617065037718_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3617065037718_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3617065037718_0.json,epnp_label,raw,2299.357256118916,5.33896476696001,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_rear_epnp_hybrid_xyz_new/3617065037718_0_extrinsic_before_after.jpg,-37.05056381225586,-37.05056381225586,-37.05056381225586,nan,nan,nan,nan,metadata,pinhole,970.6766637739727,99.22887312116325,34206.92443847656,True,979.7595540447787,111.96087408929878,34379.247403348505,True,962.7063030329116,109.46717636005107,42362.2148438,True
image_3617454591731,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/metadata/sample_3617454591731_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3617454591731_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v1/rear/EPnPv2_gt_mesh_z_hybrid_labels/3617454591731_0.json,epnp_label,raw,3474.6157822607015,6.506147372842684,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_rear_epnp_hybrid_xyz_new/3617454591731_0_extrinsic_before_after.jpg,-37.0962028503418,-37.0962028503418,-37.0962028503418,nan,nan,nan,nan,metadata,pinhole,952.4877075147182,98.2305450207439,34865.66925048822,True,961.3244604105384,110.79931389216037,35056.02204265754,True,940.5616809472308,112.32684959828272,44224.0351562,True
image_3647144401205,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v2/rear/metadata/sample_3647144401205_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v2/rear/EPnPv2_gt_mesh_z_hybrid_labels/3647144401205_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v2/rear/EPnPv2_gt_mesh_z_hybrid_labels/3647144401205_0.json,epnp_label,raw,2990.482345346442,14.841498533466721,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_rear_epnp_hybrid_xyz_new/3647144401205_0_extrinsic_before_after.jpg,-35.9304084777832,-35.9304084777832,-35.9304084777832,nan,nan,nan,nan,metadata,pinhole,926.4222648301434,104.09028918362843,50544.456481933594,True,931.5537270649523,110.31323393116227,50596.85392852826,True,931.6176271516017,117.87781965688035,58907.203125,True
image_3649243584014,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v2/rear/metadata/sample_3649243584014_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v2/rear/EPnPv2_gt_mesh_z_hybrid_labels/3649243584014_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v2/rear/EPnPv2_gt_mesh_z_hybrid_labels/3649243584014_0.json,epnp_label,raw,2194.9894157579192,12.530976295599778,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_rear_epnp_hybrid_xyz_new/3649243584014_0_extrinsic_before_after.jpg,-35.91163635253906,-35.91163635253906,-35.91163635253906,nan,nan,nan,nan,metadata,pinhole,881.8190881582582,102.66155671978181,50403.709411621036,True,887.0964740615657,109.00362718000365,50467.13214634842,True,884.7654553018583,117.66529433812792,54946.0859375,True
image_3650142537889,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v2/rear/metadata/sample_3650142537889_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v2/rear/EPnPv2_gt_mesh_z_hybrid_labels/3650142537889_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v2/rear/EPnPv2_gt_mesh_z_hybrid_labels/3650142537889_0.json,epnp_label,raw,3436.3645443330597,12.379486392333542,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_rear_epnp_hybrid_xyz_new/3650142537889_0_extrinsic_before_after.jpg,-35.90010070800781,-35.90010070800781,-35.90010070800781,nan,nan,nan,nan,metadata,pinhole,884.679704143239,100.32224422491623,52867.40875244135,True,889.7378125620378,106.4292302705694,52932.01162010123,True,888.7608260883794,115.14780586813376,61986.8046875,True
image_3653462384259,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v2/rear/metadata/sample_3653462384259_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v2/rear/EPnPv2_gt_mesh_z_hybrid_labels/3653462384259_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v2/rear/EPnPv2_gt_mesh_z_hybrid_labels/3653462384259_0.json,epnp_label,raw,959.7161727722735,7.493927437559365,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_rear_epnp_hybrid_xyz_new/3653462384259_0_extrinsic_before_after.jpg,-35.97492980957031,-35.97492980957031,-35.97492980957031,nan,nan,nan,nan,metadata,pinhole,903.0683470520156,95.85663003000778,55565.170288085996,True,908.0899054974751,102.14156443233483,55628.39267117897,True,910.1289443957172,115.95551603492304,62772.3554688,True
image_3654241852183,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v2/rear/metadata/sample_3654241852183_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v2/rear/EPnPv2_gt_mesh_z_hybrid_labels/3654241852183_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v2/rear/EPnPv2_gt_mesh_z_hybrid_labels/3654241852183_0.json,epnp_label,raw,1126.7344843074873,7.426963595243264,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_rear_epnp_hybrid_xyz_new/3654241852183_0_extrinsic_before_after.jpg,-36.042938232421875,-36.042938232421875,-36.042938232421875,nan,nan,nan,nan,metadata,pinhole,905.3532205350334,94.03657959807487,53054.59976196289,True,910.7010603054681,100.78639598466958,53117.587422606244,True,913.3696777749349,113.90703631988345,60456.8046875,True
image_3660141935681,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v2/rear/metadata/sample_3660141935681_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v2/rear/EPnPv2_gt_mesh_z_hybrid_labels/3660141935681_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-05-12-28-13-v2/rear/EPnPv2_gt_mesh_z_hybrid_labels/3660141935681_0.json,epnp_label,raw,2703.790877052073,10.015512151963874,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_rear_epnp_hybrid_xyz_new/3660141935681_0_extrinsic_before_after.jpg,-36.76588439941406,-36.76588439941406,-36.76588439941406,nan,nan,nan,nan,metadata,pinhole,837.9405404097017,100.52840681158602,43151.5731811524,True,845.3329400496422,110.23770713346337,43233.72976948973,True,842.3688521368581,114.33427703489157,46756.625,True
