match_key,metadata_path,epnp_label_path,target_label_path,correction_kind,map_z_mode,translation_error_mm,rotation_error_deg,output,raw_map_object_z_m,label_map_pose_z_m,adjusted_map_object_z_m,metadata_lidar_z_m,metadata_ground_truth_pose_z_m,object_minus_ego_z_m,adjusted_minus_lidar_z_m,projection_model,metadata_distortion_model,original_center_u,original_center_v,original_center_depth_mm,original_center_valid_depth,optimized_center_u,optimized_center_v,optimized_center_depth_mm,optimized_center_valid_depth,gigapose_center_u,gigapose_center_v,gigapose_center_depth_mm,gigapose_center_valid_depth
image_3600107489630,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/stereo_left/metadata/sample_3600107489630_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3600107489630_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3600107489630_0.json,epnp_label,raw,2054.7420820367433,0.1555194357743005,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_stereo_left_epnp_hybrid_xyz_new/3600107489630_0_extrinsic_before_after.jpg,-35.16722869873047,-35.16722869873047,-35.16722869873047,nan,nan,nan,nan,metadata,pinhole,994.7421904537438,201.9826421287889,49827.86178588866,True,996.8754998153694,221.55473368173054,49825.17907297044,True,1046.4636722344555,316.0235092052623,64049.6914062,True
image_3600203600833,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/stereo_left/metadata/sample_3600203600833_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3600203600833_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3600203600833_0.json,epnp_label,raw,1491.5369705713829,3.2441096926116466,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_stereo_left_epnp_hybrid_xyz_new/3600203600833_0_extrinsic_before_after.jpg,-35.170223236083984,-35.170223236083984,-35.170223236083984,nan,nan,nan,nan,metadata,pinhole,999.1754663453875,290.3424943669475,49728.65295410155,True,1001.3454556698068,309.9729513726053,49725.907903557905,True,1054.5054711599755,321.84625307483145,64163.984375,True
image_3600322831079,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/stereo_left/metadata/sample_3600322831079_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3600322831079_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3600322831079_0.json,epnp_label,raw,1484.2322857551158,3.9472908631309718,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_stereo_left_epnp_hybrid_xyz_new/3600322831079_0_extrinsic_before_after.jpg,-35.17439651489258,-35.17439651489258,-35.17439651489258,nan,nan,nan,nan,metadata,pinhole,1007.1573787142702,289.44706651555305,49487.64038085937,True,1009.3900733413865,309.1849597549908,49484.92068630593,True,1060.6140415249477,321.3692675480672,63915.5195312,True
image_3600402805121,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/stereo_left/metadata/sample_3600402805121_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3600402805121_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3600402805121_0.json,epnp_label,raw,2557.589409371004,3.6780959115445593,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_stereo_left_epnp_hybrid_xyz_new/3600402805121_0_extrinsic_before_after.jpg,-35.17878341674805,-35.17878341674805,-35.17878341674805,nan,nan,nan,nan,metadata,pinhole,1020.4855164842505,287.93937167356046,50035.26306152345,True,1022.7577240423885,307.48985790743154,50032.50247913413,True,1068.3081981063895,323.2096918183239,63174.328125,True
image_3600505714307,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/stereo_left/metadata/sample_3600505714307_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3600505714307_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3600505714307_0.json,epnp_label,raw,2616.71422979511,0.38948119674239656,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_stereo_left_epnp_hybrid_xyz_new/3600505714307_0_extrinsic_before_after.jpg,-35.17878341674805,-35.17878341674805,-35.17878341674805,nan,nan,nan,nan,metadata,pinhole,1028.718593421926,288.22791126294123,49376.590728759766,True,1031.0377028121625,308.0374255329642,49373.77036136055,True,1079.2170588522383,319.0947431528657,62504.0742188,True
image_3600643201359,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/stereo_left/metadata/sample_3600643201359_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3600643201359_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3600643201359_0.json,epnp_label,raw,1548.4996300071016,3.954888528517823,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_stereo_left_epnp_hybrid_xyz_new/3600643201359_0_extrinsic_before_after.jpg,-35.18647003173828,-35.18647003173828,-35.18647003173828,nan,nan,nan,nan,metadata,pinhole,1050.613557422871,295.3804029913031,49522.686004638665,True,1052.9842541638684,315.16077951826514,49519.81432038025,True,1094.298352391152,322.6553456523443,63857.984375,True
image_3600683552924,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v2-v4/stereo_left/metadata/sample_3600683552924_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v2-v4/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3600683552924_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v2-v4/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3600683552924_0.json,epnp_label,raw,3282.7233290230683,13.565068405571484,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_stereo_left_epnp_hybrid_xyz_new/3600683552924_0_extrinsic_before_after.jpg,-34.57262420654297,-34.57262420654297,-34.57262420654297,nan,nan,nan,nan,metadata,pinhole,410.86921651183184,310.6811179991032,49866.63055419916,True,392.0557246496609,342.72988895148814,49900.09727812873,True,360.960352845065,351.8142083731773,62799.5117188,True
image_3600704249936,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/stereo_left/metadata/sample_3600704249936_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3600704249936_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3600704249936_0.json,epnp_label,raw,2243.4225396943143,0.6330340611081199,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_stereo_left_epnp_hybrid_xyz_new/3600704249936_0_extrinsic_before_after.jpg,-35.18785858154297,-35.18785858154297,-35.18785858154297,nan,nan,nan,nan,metadata,pinhole,1062.214553342908,293.90760653705115,49658.25653076172,True,1064.6149502045878,313.6474045362484,49655.43927357631,True,1105.3884133570916,315.1623479662425,63212.1835938,True
image_3600853977292,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/stereo_left/metadata/sample_3600853977292_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3600853977292_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3600853977292_0.json,epnp_label,raw,2234.9176779776085,3.490651554669378,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_stereo_left_epnp_hybrid_xyz_new/3600853977292_0_extrinsic_before_after.jpg,-35.19389343261719,-35.19389343261719,-35.19389343261719,nan,nan,nan,nan,metadata,pinhole,1091.3729317417994,292.2569860085366,49260.86807250975,True,1093.841548601137,312.1681799020122,49258.05783913375,True,1126.8025908979364,321.0963402885311,62773.90625,True
image_3600902708820,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/stereo_left/metadata/sample_3600902708820_0.yaml,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3600902708820_0.json,/media/hdd2/ARCL_multicar_bags/camera_dataset/2026-05-18-v0/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3600902708820_0.json,epnp_label,raw,1929.0188743154924,1.142565972468366,gigaPose_datasets/results/real_world_ot2_IST_tran/extrinsic_optimization_stereo_left_epnp_hybrid_xyz_new/3600902708820_0_extrinsic_before_after.jpg,-35.19389343261719,-35.19389343261719,-35.19389343261719,nan,nan,nan,nan,metadata,pinhole,1099.552306919798,292.8399739077812,48979.469299316384,True,1102.0385405890452,312.86577374007624,48976.43189332464,True,1147.0455279414061,315.365330303889,63089.4804688,True
