match_key,scene_id,im_id,obj_id,instance_id,prediction_row_index,score,epnp_label_path,epnp_record_index,translation_error_mm,rotation_error_deg,roll_error_deg,pitch_error_deg,yaw_error_deg,T_gigapose_cam_obj,T_gigapose_aligned_epnp_obj,T_epnp_obj
image_3625222913575,1,45,1,0,0,0.416759492,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3625222913575_0.json,0,9311.925611208357,50.81065023831991,3.10285541108766,10.40235060220847,49.431429438033454,0.727727533 -0.682453146 0.0683398937 105026.007 0.120237059 0.0288435298 -0.992326106 -6329.73838 0.675244909 0.730360017 0.10304639 125955.493 0 0 0 1,0.487672361406 -0.872988243467 0.00819722701529 103898.638062 0.153832348345 0.0766843756964 -0.985116802894 -7031.35381188 0.859366788036 0.48167523636 0.171690682195 123625.755191 0 0 0 1,0.980295956135 -0.194668769836 -0.0335262455046 108339.317322 -0.0352572612464 -0.00543305277824 -0.999363481998 -6426.52130127 0.194362699986 0.980853974819 -0.012189488858 115463.249207 0 0 0 1
image_3628523249109,1,46,1,0,1,0.48473098,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3628523249109_0.json,0,13171.086615694305,32.079143765215974,3.137445794040439,1.9348076914535939,31.81925439768146,0.928704718 -0.370631035 -0.0118399023 109402.378 -0.0199884391 -0.018152209 -0.999635413 -5655.76852 0.370280987 0.928602786 -0.024266378 131112.696 0 0 0 1,0.775124999596 -0.630379802755 -0.0424563294096 107449.624145 0.00626367585361 0.0748619946895 -0.99717423123 -5967.92817964 0.631776860507 0.772668743477 0.0619758984091 129301.560465 0 0 0 1,0.991123080254 -0.128510653973 -0.0340566635132 114925.209045 -0.0339987501502 0.00264500570484 -0.999418377876 -6261.67488098 0.128526002169 0.991704583168 -0.00174767535646 118461.502075 0 0 0 1
image_3629724226954,1,47,1,0,2,0.486939198,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3629724226954_0.json,0,6329.195469609052,57.08434863315482,4.190952686585628,14.569847914985193,54.665538437789316,0.707484849 -0.702241089 0.0795150378 102057.774 0.189439716 0.0800442788 -0.978624293 -4977.10026 0.680865465 0.707425167 0.189662467 131827.263 0 0 0 1,0.462101673217 -0.886655307795 0.0174473106679 101003.647707 0.234730266279 0.103315766659 -0.966554475376 -5893.76384537 0.855198073418 0.450741852946 0.255867225234 129538.278766 0 0 0 1,0.990970313549 -0.128963425756 -0.0366916172206 106667.488098 -0.0363897308707 0.0046972357668 -0.999326586723 -6322.92842865 0.12904894352 0.991638183594 -3.81230602216e-05 126746.246338 0 0 0 1
image_3631035750053,1,48,1,0,3,0.568038586,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3631035750053_0.json,0,12978.374987908806,57.526352138600394,2.4133604320158537,13.05346341918829,55.826243759017494,0.732226192 -0.673697915 0.0998795436 92357.1791 0.176197446 0.0457261428 -0.983292215 -4291.17795 0.657874809 0.737590835 0.152185731 128220.897 0 0 0 1,0.493612323817 -0.868742233977 0.040420351762 91222.2814734 0.211974703205 0.0751066856044 -0.974384785991 -5144.11305273 0.843453377368 0.489536430833 0.221224962438 125945.94375 0 0 0 1,0.996561825275 -0.0743740275502 -0.0365101285279 103625.450134 -0.0360559336841 0.00744096189737 -0.99932205677 -5745.19300461 0.0745952576399 0.997202634811 0.00473375199363 129719.314575 0 0 0 1
image_3631324683154,1,49,1,0,4,0.924887051,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3631324683154_0.json,0,18316.304653441748,74.55271901895172,0.7294705397159201,2.973613902744246,74.48001493012192,0.475273949 -0.87887872 0.0410715068 86494.7614 0.0299564681 -0.0304893514 -0.999086087 -3597.7131 0.879327745 0.476069947 0.0118373079 123324.871 0 0 0 1,0.188969073794 -0.981256051271 -0.0377789720773 86169.6919413 0.050185687996 0.048072240647 -0.99758230546 -4021.67405284 0.980699793718 0.186616240334 0.0583291768045 120697.041068 0 0 0 1,0.996007740498 -0.0820966884494 -0.0350521542132 101805.229187 -0.0345223881304 0.00786397326738 -0.999372959137 -5503.33070755 0.0823208987713 0.996593415737 0.00499840127304 130121.566772 0 0 0 1
image_3632024634300,1,50,1,0,5,1.0,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3632024634300_0.json,0,20475.744678384362,67.26137356694228,3.7686655589387468,1.8787694962618697,67.08311464987554,0.603369984 -0.797344186 -0.0136715419 84525.0529 -0.00485051727 0.0134740851 -0.999897455 -3045.99024 0.797446634 0.603374426 0.00426232676 120954.265 0 0 0 1,0.337215999783 -0.937636457191 -0.084399308256 83784.1634614 0.0301731733426 0.100368720396 -0.994492684025 -3425.88095459 0.940943647815 0.332812250219 0.062137405792 118405.212416 0 0 0 1,0.997822880745 -0.0567312762141 -0.033631067723 99998.9089966 -0.0330496132374 0.0111568672583 -0.999391376972 -4774.44887161 0.0570719018579 0.99832713604 0.00925762858242 130835.800171 0 0 0 1
image_3632523195590,1,51,1,0,6,1.0,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3632523195590_0.json,0,16733.561153419167,39.91385948175364,7.083398309556863,3.469772824052283,38.9438615887207,0.917716088 -0.395687864 0.0350470467 86447.7073 -0.0491650529 -0.200689268 -0.97842047 -2687.83489 0.394182672 0.896189116 -0.203629785 125649.094 0 0 0 1,0.755703977871 -0.654910576417 0.00190633185022 84563.8223173 -0.0768420103734 -0.0915582666145 -0.992830494137 -2745.80453343 0.650389731561 0.750139467199 -0.119515591917 123741.603479 0 0 0 1,0.99904859066 -0.0285260993987 -0.0329865701497 99372.1694946 -0.0325901098549 0.0142531665042 -0.999367177486 -4172.31845856 0.0289782006294 0.999491333961 0.0133099379018 131402.542114 0 0 0 1
image_3632725038812,1,52,1,0,7,0.801806714,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3632725038812_0.json,0,11028.80646540033,22.947573030101054,11.157226088066281,0.7802960564604215,19.99337483967011,0.997551251 -0.0642190077 0.0277023486 91021.4295 0.0099895832 -0.26120133 -0.965232653 -2512.54175 0.0692221734 0.963145775 -0.259920192 137409.148 0 0 0 1,0.931265439554 -0.363471666479 0.0251600516335 88621.2412147 -0.0389431612032 -0.167962668204 -0.98502384401 -2654.46003967 0.3622542073 0.916338850705 -0.170572563391 136221.773338 0 0 0 1,0.999233961105 -0.0210921224207 -0.032961461693 98574.4476318 -0.0326359085739 0.0155973229557 -0.999345600605 -3931.75959587 0.0215925034136 0.999655842781 0.0148970168084 131646.102905 0 0 0 1
image_3633723655886,1,53,1,0,8,0.444175823,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3633723655886_0.json,0,12023.334690215954,8.626437889881784,7.146045088923305,2.044411319769572,4.256193964375838,0.974014792 0.2102468 -0.0842108606 94645.0218 -0.0397408548 -0.207393105 -0.977450134 -2518.59168 -0.222970515 0.9553975 -0.193648564 145344.949 0 0 0 1,0.994402483936 -0.0860705411961 -0.061282647369 91999.3235081 -0.0698905352868 -0.100844082554 -0.992444348107 -2593.16108616 0.0792402293233 0.991172201492 -0.106295121954 144914.108943 0 0 0 1,0.999345421791 -0.00362074398436 -0.0359937287867 93675.9338379 -0.0359109602869 0.0207904018462 -0.999138653278 -3204.27656174 0.00436598295346 0.999777317047 0.0206467676908 133023.94104 0 0 0 1
image_3633823542398,1,54,1,0,9,0.466738908,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3633823542398_0.json,0,16025.07444691007,6.9952256806348645,6.0244860716425785,2.437754908788431,2.4649363249181837,0.969034513 0.227151007 -0.0968221747 97114.2603 -0.0531388611 -0.191085695 -0.980133929 -2417.20453 -0.241139741 0.954928624 -0.173098088 149456.422 0 0 0 1,0.995099911449 -0.0674309256211 -0.072313466134 94460.0218956 -0.0777049295715 -0.0810939686378 -0.993672839691 -2475.12350867 0.0611400936941 0.994422866838 -0.0859363168074 149078.841427 0 0 0 1,0.99919372797 -0.0165109336376 -0.0365941189229 91947.9751587 -0.036225374788 0.0221057925373 -0.999099075794 -3061.71107292 0.0173049401492 0.999619305134 0.0214898567647 133262.756348 0 0 0 1
