row_index,scene_id,im_id,match_key,score,projection_model,distortion_model,distortion_coefficients,metadata_path,bbox_match_mode,bbox_match_index,bbox_match_distance_px,detection_center_u_px,detection_center_v_px,corrected_center_u_px,corrected_center_v_px,corrected_center_minus_detection_du_px,corrected_center_minus_detection_dv_px,corrected_center_u_metadata_px,corrected_center_v_metadata_px,metadata_minus_detection_du_px,metadata_minus_detection_dv_px,corrected_center_u_pinhole_px,corrected_center_v_pinhole_px,pinhole_minus_detection_du_px,pinhole_minus_detection_dv_px,metadata_minus_pinhole_du_px,metadata_minus_pinhole_dv_px,aligned_gigapose_center_u_px,aligned_gigapose_center_v_px,native_gigapose_center_u_px,native_gigapose_center_v_px,native_gigapose_center_minus_detection_du_px,native_gigapose_center_minus_detection_dv_px,corrected_center_depth_mm,diagnostic_status,diagnostic_error
0,1,82,image_3689125383318,0.959664631,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/metadata/sample_3689125383318_0.yaml,nearest_projected_center,0,3.953216579153757,758.5,171.5,756.966058741682,178.01348291835012,-1.5339412583180092,6.513482918350121,756.966058741682,178.01348291835012,-1.5339412583180092,6.513482918350121,751.8926352707358,178.39749166018436,-6.607364729264191,6.897491660184357,5.073423470946182,-0.3840087418342364,775.3970023648624,175.09156379275785,762.2305962827936,172.80788864071167,3.7305962827936128,1.307888640711667,61278.3126831,ok,
1,1,100,image_3691023989463,0.990517238,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/metadata/sample_3691023989463_0.yaml,nearest_projected_center,0,4.750354418998777,870.5,171.0,870.9665117040909,176.89359300845223,0.4665117040908626,5.893593008452228,870.9665117040909,176.89359300845223,0.4665117040908626,5.893593008452228,869.8888212860251,177.0239551079939,-0.6111787139749367,6.023955107993913,1.0776904180657993,-0.13036209954168498,885.3064147893825,169.2202765021733,874.6716414931291,173.27228395208544,4.171641493129073,2.272283952085445,51133.3465576,ok,
2,1,119,image_3693426874121,0.988339634,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/metadata/sample_3693426874121_0.yaml,nearest_projected_center,0,12.374135155596889,914.0,162.0,915.2906016365629,168.4009383391487,1.290601636562883,6.400938339148695,915.2906016365629,168.4009383391487,1.290601636562883,6.400938339148695,914.8675773535845,168.4412105521205,0.8675773535844655,6.441210552120509,0.42302428297841743,-0.04027221297181427,945.1289749383474,161.9920562734129,926.34429719266,162.8588059549552,12.344297192659951,0.8588059549551872,40378.8948059,ok,
3,1,183,image_3700226218145,0.721412359,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/metadata/sample_3700226218145_0.yaml,nearest_projected_center,0,18.486471616086476,698.0,191.0,689.1606493104232,199.88093336521513,-8.839350689576804,8.880933365215128,689.1606493104232,199.88093336521513,-8.839350689576804,8.880933365215128,679.4254857276347,201.08641181425372,-18.574514272365263,10.086411814253722,9.73516358278846,-1.2054784490385941,690.2402810701201,182.08413454539274,716.2328937412485,194.05142894931402,18.232893741248517,3.0514289493140154,14544.5537567,ok,
4,1,101,image_3691125062965,0.987649005,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/metadata/sample_3691125062965_0.yaml,nearest_projected_center,0,5.1685297224291435,875.0,170.0,875.5479589969767,176.42805872254797,0.5479589969767176,6.4280587225479735,875.5479589969767,176.42805872254797,0.5479589969767176,6.4280587225479735,874.5566374359287,176.5485182407023,-0.4433625640713217,6.548518240702293,0.9913215610480393,-0.12045951815431977,891.7633417123802,170.2165059214063,879.603944463914,172.34891354988412,4.60394446391399,2.3489135498841165,50776.9775391,ok,
5,1,99,image_3690923719687,1.0,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/metadata/sample_3690923719687_0.yaml,nearest_projected_center,0,6.741637899407453,866.0,169.5,866.2852421705379,176.4927780228789,0.2852421705379129,6.992778022878895,866.2852421705379,176.4927780228789,0.2852421705379129,6.992778022878895,865.1156866875245,176.62762008886486,-0.8843133124754559,7.127620088864859,1.1695554830133688,-0.13484206598596415,883.9152090594056,170.2896605534017,871.3900450015974,173.5493328397999,5.3900450015974,4.049332839799888,51464.466095,ok,
6,1,184,image_3700323668579,0.969489401,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/metadata/sample_3700323668579_0.yaml,nearest_projected_center,0,27.303869548966638,694.5,192.5,684.7903241514452,201.29281728301123,-9.709675848554753,8.792817283011232,684.7903241514452,201.29281728301123,-9.709675848554753,8.792817283011232,674.6831466772255,202.56936056474376,-19.816853322774477,10.06936056474376,10.107177474219725,-1.276543281732529,701.1081957525346,196.87981727846523,721.6774695936531,195.12420251372671,27.177469593653086,2.624202513726715,14326.997757,ok,
7,1,113,image_3692525340777,0.564573977,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/metadata/sample_3692525340777_0.yaml,nearest_projected_center,0,1.015069956356616,929.0,164.0,930.0953361309384,168.12406760863647,1.095336130938449,4.124067608636466,930.0953361309384,168.12406760863647,1.095336130938449,4.124067608636466,929.8079906233534,168.15447240282364,0.807990623353362,4.154472402823643,0.28734550758508703,-0.03040479418717723,941.1471284985549,165.77967289663698,928.8779915382352,162.99228925203926,-0.12200846176483537,-1.0077107479607434,44671.62323,ok,
8,1,188,image_3700723304668,0.751119518,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/metadata/sample_3700723304668_0.yaml,nearest_projected_center,0,20.616387056889497,671.0,195.0,660.6338219324759,202.71601296107806,-10.36617806752406,7.716012961078064,660.6338219324759,202.71601296107806,-10.36617806752406,7.716012961078064,648.3519500572852,204.2140769021396,-22.648049942714806,9.214076902139595,12.281871875190745,-1.498063941061531,619.1478995038419,220.25496078522036,688.6764993444767,205.61022083673072,17.676499344476724,10.610220836730718,13256.6127777,ok,
9,1,102,image_3691223467758,0.82762357,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/metadata/sample_3691223467758_0.yaml,nearest_projected_center,0,8.966702987610656,878.5,164.5,880.0876233645686,175.89000634562993,1.5876233645685716,11.390006345629928,880.0876233645686,175.89000634562993,1.5876233645685716,11.390006345629928,879.1773379675378,176.00069770535632,0.6773379675378237,11.500697705356316,0.9102853970307478,-0.11069135972638833,897.6461123369866,169.1622383552007,884.0662038183928,171.52987464469572,5.566203818392751,7.029874644695724,50419.960022,ok,
10,1,189,image_3700829250291,0.773630724,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/metadata/sample_3700829250291_0.yaml,nearest_projected_center,0,29.074227003928,664.5,196.0,650.9992531862638,203.92008585506557,-13.500746813736214,7.920085855065565,650.9992531862638,203.92008585506557,-13.500746813736214,7.920085855065565,637.7661659010481,205.53516452215905,-26.73383409895189,9.53516452215905,13.233087285215674,-1.615078667093485,657.193623088181,205.65281854573087,692.4525979753262,203.9976835587392,27.95259797532617,7.9976835587391975,12911.9501114,ok,
11,1,270,image_3709222924519,0.799094887,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/metadata/sample_3709222924519_0.yaml,nearest_projected_center,0,58.67670872349481,224.5,276.0,-279.1235313749128,322.5974458520701,-503.6235313749128,46.59744585207011,-279.1235313749128,322.5974458520701,-503.6235313749128,46.59744585207011,-623.8928136146139,366.02719538437736,-848.3928136146139,90.02719538437736,344.76928223970117,-43.429749532307255,103.23413990112692,321.0266654753975,276.3016148377951,248.44008623346986,51.801614837795114,-27.559913766530144,2967.16499329,ok,
