match_key,scene_id,im_id,obj_id,instance_id,prediction_row_index,score,epnp_label_path,epnp_record_index,translation_error_mm,rotation_error_deg,roll_error_deg,pitch_error_deg,yaw_error_deg,T_gigapose_cam_obj,T_gigapose_aligned_epnp_obj,T_epnp_obj
image_3688925314632,1,80,1,0,15,1.0,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3688925314632_0.json,0,2166.0106887864745,12.243103395918272,2.9399676828117722,3.7850419132005158,11.367036065397121,-0.185323174 -0.981716753 0.0434458005 -19711.0681 -0.0780535901 -0.0293662308 -0.996516564 1149.23693 0.979572845 -0.188068713 -0.071184274 67284.7509 0 0 0 1,-0.471873370948 -0.880407756365 -0.0470925030763 -18300.3860602 -0.052563426965 0.0814101769692 -0.995293660181 992.820867042 0.880098067453 -0.46717723091 -0.0846925434775 65009.5776324 0 0 0 1,-0.28771674633 -0.957146048546 -0.0330206342041 -18816.8506622 0.00721639720723 0.0323109030724 -0.999451816082 1306.28085136 0.957688331604 -0.287797421217 -0.00238924473524 62929.5272827 0 0 0 1
image_3689125383318,1,82,1,0,17,0.959664631,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3689125383318_0.json,0,4703.576321220226,15.711672571645241,2.256994131899511,2.9161027709014067,15.333041510474432,-0.227631175 -0.972521452 0.0488474537 -18797.0648 -0.0577866887 -0.0365843043 -0.997658402 1408.35952 0.972031248 -0.229920887 -0.0478710662 68188.2884 0 0 0 1,-0.50963565049 -0.859411969104 -0.0410191574183 -17288.2566928 -0.0353604741848 0.0685560565379 -0.997020412916 1208.16533411 0.859663388113 -0.506666689985 -0.0653278251988 65980.5013672 0 0 0 1,-0.263003766537 -0.964228093624 -0.0330599173903 -17226.9134521 0.00722195487469 0.0322977565229 -0.99945217371 1304.5437336 0.964767813683 -0.263098448515 -0.00153082015458 61278.3126831 0 0 0 1
image_3690724746344,1,97,1,0,32,0.400914796,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3690724746344_0.json,0,2042.2943908095128,12.045596412371959,1.1496712087958418,1.0375769194896514,11.956414546674804,-0.0221969733 -0.996832993 0.0763628069 -9881.22337 0.0228060738 -0.0768666213 -0.99678052 1027.6171 0.99949346 -0.0203839748 0.0244400532 56540.541 0 0 0 1,-0.321841175279 -0.946672743274 -0.0151319156354 -8847.8790096 0.0294162587156 0.00597644083608 -0.999549381172 666.418417729 0.946336589631 -0.322141271934 0.0259241056448 54092.5544525 0 0 0 1,-0.119394429028 -0.992443740368 -0.0282895620912 -9333.1079483 0.00567909190431 0.0278102513403 -0.999597132206 1074.65803623 0.992830693722 -0.119506895542 0.00231579062529 52151.1993408 0 0 0 1
image_3690923719687,1,99,1,0,34,1.0,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3690923719687_0.json,0,3719.102239192015,15.145561371826375,0.13101076945939272,5.500751384252748,14.122462925257306,-0.0442190909 -0.998450443 0.0337843777 -9440.24992 0.0919052398 -0.0377396698 -0.995052332 1305.83154 0.994785454 -0.0408953482 0.0934316413 57547.7418 0 0 0 1,-0.342016980735 -0.937917192357 -0.0577557310863 -8366.93817787 0.106970571923 0.022202672075 -0.994014254069 736.800934914 0.933585390892 -0.346147917901 0.092735847636 55157.1123276 0 0 0 1,-0.106906555593 -0.993906795979 -0.0268390066922 -8718.75667572 0.00488771358505 0.026468032971 -0.999637722969 1005.70428371 0.994257092476 -0.106998965144 0.00202832277864 51464.466095 0 0 0 1
image_3691023989463,1,100,1,0,35,0.990517238,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3691023989463_0.json,0,4545.002288927014,14.2168810177948,4.26165286005704,6.193803639929156,11.847180503545568,-0.000568721184 -0.999269295 -0.0382171674 -9305.015 0.0798420881 0.0380497914 -0.996081048 1296.14952 0.996807362 -0.00361783084 0.0797621074 58101.9867 0 0 0 1,-0.298418435339 -0.94562535886 -0.129379741029 -8366.38248794 0.118179498222 0.0979036536731 -0.988154077379 684.437967329 0.947090303534 -0.31017342657 0.0825372753084 55665.6613571 0 0 0 1,-0.100984700024 -0.994542598724 -0.026211488992 -8421.85020447 0.00519576761872 0.0258186049759 -0.999653100967 1019.23894882 0.994874417782 -0.101085886359 0.00256012519822 51133.3465576 0 0 0 1
image_3691125062965,1,101,1,0,36,0.987649005,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3691125062965_0.json,0,3802.133932915261,14.246240006717162,1.7216139981925325,3.8094378807039826,13.565003803085522,-0.0249811147 -0.999554762 0.0163162966 -8867.31257 0.0540304831 -0.0176475175 -0.998383329 1220.04311 0.998226753 -0.024059151 0.0544472813 56989.4155 0 0 0 1,-0.323463263555 -0.943249018897 -0.0751851404451 -7847.24168295 0.076965962678 0.0529665075615 -0.995625827944 724.464407617 0.943105379792 -0.327835076251 0.0554653493616 54559.4442388 0 0 0 1,-0.0951012447476 -0.995148062706 -0.0252191070467 -8129.29916382 0.004875656683 0.0248679816723 -0.999678790569 988.304674625 0.995455682278 -0.0951936617494 0.00248702382669 50776.9775391 0 0 0 1
image_3691223467758,1,102,1,0,37,0.82762357,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3691223467758_0.json,0,3087.775540495098,16.406040767205777,4.71790887628427,3.7195391758601533,15.121193004971428,-0.0482202131 -0.998289455 -0.0330601711 -8431.72625 0.0367104372 0.0313050358 -0.998835491 1153.11821 0.998161888 -0.0493777136 0.0351381069 55870.2157 0 0 0 1,-0.343727771073 -0.930803921988 -0.124319258497 -7373.99520427 0.0751122962719 0.104710054038 -0.991662214204 653.662994366 0.936060554736 -0.350199747627 0.0339230665251 53457.1983528 0 0 0 1,-0.0894366428256 -0.995680093765 -0.0249411482364 -7842.27371216 0.00398032134399 0.024683997035 -0.999687373638 954.089939594 0.995984613895 -0.0895079299808 0.00175547320396 50419.960022 0 0 0 1
image_3691323318781,1,103,1,0,38,0.982943284,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3691323318781_0.json,0,2368.860992487978,15.60964212777269,5.914753954075063,3.521378109217599,13.837899458456828,-0.0208722508 -0.998508407 -0.05045106 -8018.13883 0.0261175756 0.0499002752 -0.998412658 1095.06333 0.999440954 -0.0221567788 0.0250370878 54751.6723 0 0 0 1,-0.317177198016 -0.937741206133 -0.141562899576 -7034.55851149 0.0705621800803 0.125521693316 -0.989578336527 604.306439774 0.945737597289 -0.323860670705 0.0263564449273 52305.7306362 0 0 0 1,-0.0834446027875 -0.996208429337 -0.0246115420014 -7536.72504425 0.00343882455491 0.0244096629322 -0.999696135521 910.623073578 0.99650645256 -0.0835039243102 0.00138893024996 50011.0626221 0 0 0 1
image_3691424593464,1,104,1,0,39,0.985947673,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3691424593464_0.json,0,1767.7884551068305,16.543388982238326,4.030334072134906,2.3887033807010543,15.786783025616579,-0.0480011853 -0.998752141 -0.0137857305 -7635.84693 0.0165730811 0.0130033703 -0.999778098 1032.07542 0.998709777 -0.0482190058 0.0159282231 53634.3272 0 0 0 1,-0.344250428127 -0.932969195414 -0.105167116775 -6570.91070393 0.0504597155809 0.0934665354117 -0.994342910549 599.592279757 0.937520911386 -0.347609675537 0.0149014654686 51211.5658909 0 0 0 1,-0.0773500427604 -0.996691644192 -0.0249515902251 -7226.93777084 0.0021175625734 0.0248622801155 -0.999688625336 830.866456032 0.997001707554 -0.077378757298 0.000187459154404 49586.3838196 0 0 0 1
image_3691723614212,1,106,1,0,41,0.980589384,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3691723614212_0.json,0,1333.9359395574027,18.65012547212099,5.822584832657581,6.758469458918986,16.055547429716686,-0.0161594401 -0.997668429 -0.0663067017 -6678.10434 0.076525637 0.0648867971 -0.994954034 814.882918 0.996936658 -0.0211520627 0.0752986777 51850.4662 0 0 0 1,-0.311943467762 -0.936995655522 -0.15725906928 -5713.01312359 0.123013542484 0.124293575639 -0.98459066355 186.256761642 0.942103466688 -0.326481621253 0.0764905858412 49428.8280559 0 0 0 1,-0.042416151613 -0.998805582523 -0.0242535620928 -6224.17736053 -0.00138211261947 0.0243340488523 -0.99970293045 647.073984146 0.999099135399 -0.0423700660467 -0.0024126204662 48286.1366272 0 0 0 1
image_3691834875573,1,107,1,0,42,1.0,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3691834875573_0.json,0,951.6590151032397,17.737189373774136,6.489125751971491,5.213049883630918,15.384575363924244,0.000643210534 -0.997658465 -0.0683898595 -5992.58389 0.0460977436 0.0683467518 -0.996596066 678.174931 0.998936727 -0.00251159712 0.0460337655 50154.9898 0 0 0 1,-0.295852170145 -0.941861505017 -0.159274599911 -5069.92756577 0.0950813003117 0.136874769141 -0.986014626219 121.028887533 0.950489894689 -0.306858603275 0.0490587191542 47699.5475198 0 0 0 1,-0.0355625115335 -0.999061763287 -0.024714788422 -5900.94137192 -0.00240181665868 0.0248158033937 -0.999689161777 584.317624569 0.999364554882 -0.0354921072721 -0.00328207667917 47678.7033081 0 0 0 1
