match_key,scene_id,im_id,obj_id,instance_id,prediction_row_index,score,epnp_label_path,epnp_record_index,translation_error_mm,rotation_error_deg,roll_error_deg,pitch_error_deg,yaw_error_deg,T_gigapose_cam_obj,T_gigapose_aligned_epnp_obj,T_epnp_obj
image_3688925314632,1,80,1,0,15,1.0,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3688925314632_0.json,0,2166.0106887864745,12.243103395918272,2.9399676828117722,3.7850419132005158,11.367036065397121,-0.185323174 -0.981716753 0.0434458005 -19711.0681 -0.0780535901 -0.0293662308 -0.996516564 1149.23693 0.979572845 -0.188068713 -0.071184274 67284.7509 0 0 0 1,-0.471873370948 -0.880407756365 -0.0470925030763 -18300.3860602 -0.052563426965 0.0814101769692 -0.995293660181 992.820867042 0.880098067453 -0.46717723091 -0.0846925434775 65009.5776324 0 0 0 1,-0.28771674633 -0.957146048546 -0.0330206342041 -18816.8506622 0.00721639720723 0.0323109030724 -0.999451816082 1306.28085136 0.957688331604 -0.287797421217 -0.00238924473524 62929.5272827 0 0 0 1
image_3690724746344,1,97,1,0,32,0.400914796,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3690724746344_0.json,0,2042.2943908095128,12.045596412371959,1.1496712087958418,1.0375769194896514,11.956414546674804,-0.0221969733 -0.996832993 0.0763628069 -9881.22337 0.0228060738 -0.0768666213 -0.99678052 1027.6171 0.99949346 -0.0203839748 0.0244400532 56540.541 0 0 0 1,-0.321841175279 -0.946672743274 -0.0151319156354 -8847.8790096 0.0294162587156 0.00597644083608 -0.999549381172 666.418417729 0.946336589631 -0.322141271934 0.0259241056448 54092.5544525 0 0 0 1,-0.119394429028 -0.992443740368 -0.0282895620912 -9333.1079483 0.00567909190431 0.0278102513403 -0.999597132206 1074.65803623 0.992830693722 -0.119506895542 0.00231579062529 52151.1993408 0 0 0 1
image_3692327041048,1,112,1,0,47,0.907247625,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3692327041048_0.json,0,2273.4627308800127,4.602911184145322,0.2952257165985858,2.7746415494407675,3.668223708522226,0.339764235 -0.938612043 0.05973021 -5462.36749 -0.0623682194 -0.0858538387 -0.994353722 598.502187 0.938440446 0.334120565 -0.0877096257 50453.4848 0 0 0 1,0.0412866984478 -0.998831389117 -0.0251249931856 -5387.69025434 -0.0545763625536 0.0228544046758 -0.998248014124 457.838225483 0.997655667171 0.0425855957212 -0.0535690011368 47776.6321396 0 0 0 1,-0.0212787427008 -0.999374687672 -0.0282371938229 -4907.84835815 -0.00439187418669 0.0283367540687 -0.999588787556 421.374410391 0.999763906002 -0.0211460217834 -0.00499209901318 45554.6836853 0 0 0 1
image_3694723188793,1,131,1,0,66,0.965534266,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3694723188793_0.json,0,1110.1249121838737,15.358631319600976,3.9779986385373163,4.273703971095341,14.064280290199582,0.0188616165 -0.999561547 -0.0228244045 -5196.24222 0.0560459065 0.0238495999 -0.998143303 1049.57681 0.998250017 0.0175473817 0.056471175 37628.3578 0 0 0 1,-0.280449359944 -0.953073773494 -0.114011135616 -4299.64256808 0.0912995002415 0.0917527444374 -0.991587532958 509.572861139 0.955516906369 -0.288499248703 0.0612831607467 35159.4697911 0 0 0 1,-0.0417574606836 -0.998773992062 -0.0265866871923 -4975.0213623 0.0108233960345 0.0261561442167 -0.999599218369 807.713806629 0.999069213867 -0.0420284979045 0.00971790961921 34330.4023743 0 0 0 1
image_3695324322327,1,136,1,0,71,1.0,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3695324322327_0.json,0,962.1253696496541,15.927058658963256,4.862779264203356,4.413401216077908,14.332290159629952,0.00995691421 -0.999328504 -0.035261877 -5121.37624 0.0526902549 0.0357389676 -0.997971174 968.324029 0.998561263 0.00807875607 0.0530107234 33814.9624 0 0 0 1,-0.288489084569 -0.949102518248 -0.126405921368 -4207.648634 0.0916521519642 0.104039700771 -0.990341165763 425.376849068 0.953086528176 -0.29728799091 0.0569729701571 31353.0092297 0 0 0 1,-0.045320995152 -0.998703896999 -0.0231610517949 -5095.70217133 0.00942725595087 0.022756267339 -0.999696552753 754.277467728 0.998928070068 -0.0455255173147 0.00838369969279 31522.9225159 0 0 0 1
image_3695625625021,1,139,1,0,74,0.633598952,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3695625625021_0.json,0,1561.79665039758,15.04886299679057,4.589033795478152,0.4137140311128024,14.313422667995754,0.00672492543 -0.99993389 -0.00932690796 -5119.46399 -0.0127529487 0.00924059949 -0.999875979 955.797343 0.999896063 0.00684303698 -0.0126899632 31344.5806 0 0 0 1,-0.292550528119 -0.950938772253 -0.100646113327 -4187.31883528 0.0213692268408 0.0987232602687 -0.994885457622 599.52837786 0.956011267643 -0.293204995547 -0.00856071553462 28855.58863 0 0 0 1,-0.0472973845899 -0.99863576889 -0.0221275910735 -5105.16548157 0.00906192325056 0.0217224918306 -0.999722898006 731.318891048 0.998839735985 -0.047484844923 0.00802214164287 30112.329483 0 0 0 1
image_3695932924000,1,142,1,0,77,1.0,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3695932924000_0.json,0,1133.1620147767314,13.586872753375529,2.183555684442783,2.466857363339922,13.136315462456182,0.0268386288 -0.999446644 0.0196492767 -5441.31359 0.0339608477 -0.0187333958 -0.999247577 1046.61027 0.999062735 0.0274857409 0.0334392766 32071.3645 0 0 0 1,-0.274114423367 -0.959022226817 -0.071677413783 -4548.48732976 0.0575277344495 0.058047108846 -0.996654951505 601.46909129 0.959974917569 -0.277320936535 0.0392588262216 29582.2655074 0 0 0 1,-0.0497466661036 -0.998491048813 -0.0232548452914 -5094.48242188 0.00958059355617 0.0228055380285 -0.999693989754 748.549818993 0.998715877533 -0.0499541983008 0.00843163765967 28600.271225 0 0 0 1
image_3696223616834,1,144,1,0,79,0.511247537,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3696223616834_0.json,0,785.4682202817381,14.883222439158907,2.6021933557868726,1.9403359658538146,14.482913916764554,0.0028156498 -0.999899691 0.0138808924 -5291.26737 0.0240501301 -0.0138092219 -0.999615374 952.082408 0.999706789 0.00314840409 0.0240088357 29625.2992 0 0 0 1,-0.296982557891 -0.951728946566 -0.0775459328141 -4340.66946214 0.0495611384005 0.0657371009638 -0.996605401562 526.669946411 0.953595854828 -0.299817686406 0.0276459976286 27154.2081343 0 0 0 1,-0.0498490892351 -0.998463988304 -0.0241811964661 -5082.07082748 0.0101155778393 0.0237053241581 -0.999667823315 754.846632481 0.998705625534 -0.0500771291554 0.00891834869981 27277.5764465 0 0 0 1
image_3696325011839,1,145,1,0,80,1.0,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3696325011839_0.json,0,958.1876737428948,13.741416176371303,2.1095183617755264,0.7585555473540122,13.544240223594851,0.0190844323 -0.999435019 0.0276663581 -5193.29123 0.00658014719 -0.0275452453 -0.9995989 938.317111 0.999796222 0.0192588263 0.00605074416 28788.2542 0 0 0 1,-0.2817525879 -0.957368940667 -0.0637196263925 -4278.22235015 0.0287892089564 0.0579449270036 -0.997904587944 569.282433422 0.95905508714 -0.282996637644 0.0112357613439 26294.7896332 0 0 0 1,-0.0496493801475 -0.998461186886 -0.0247033685446 -5079.82110977 0.0101649593562 0.0242274403572 -0.999654769897 755.735993385 0.998715043068 -0.0498833991587 0.00894643738866 26785.5014801 0 0 0 1
image_3696725080108,1,149,1,0,84,0.979683736,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3696725080108_0.json,0,1296.763720192788,14.98896181194552,2.6111497894589566,1.5263749972682994,14.647614095191509,-0.00197455752 -0.999919056 0.0125691043 -5087.9264 0.0125927398 -0.0125929954 -0.999841407 890.124152 0.999918759 -0.00181596491 0.0126165861 26469.3561 0 0 0 1,-0.301516276506 -0.950193335662 -0.0788705247771 -4125.93761236 0.0390054819484 0.0703584267126 -0.996758879544 491.858164101 0.952662851108 -0.303615408914 0.0158485381729 23998.14891 0 0 0 1,-0.0515903532505 -0.998290836811 -0.0274561885744 -5079.44488525 0.00569019559771 0.0271985139698 -0.999613881111 612.250685692 0.998652160168 -0.051726680249 0.00427728891373 24868.7381744 0 0 0 1
image_3696824050153,1,150,1,0,85,0.907777538,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3696824050153_0.json,0,746.3382775943694,15.056941638465656,2.326982146259993,1.9399220172528369,14.711386320497121,-0.00319560399 -0.999881675 0.0150474247 -5401.50861 0.0221601797 -0.0151146138 -0.999640173 886.834135 0.999749326 -0.00286100049 0.0222058579 27224.0783 0 0 0 1,-0.302745824557 -0.950003941536 -0.0764033877154 -4435.59019657 0.0473688431649 0.0650679502602 -0.996755915526 467.338685455 0.951893459769 -0.305382831439 0.0253015374401 24757.9216979 0 0 0 1,-0.0520472452044 -0.998265862465 -0.0274979416281 -5084.0177536 0.00686165224761 0.0271771345288 -0.999607086182 638.303279877 0.998621046543 -0.0522154606879 0.0054352581501 24430.3035736 0 0 0 1
image_3696924078831,1,151,1,0,86,0.970221255,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3696924078831_0.json,0,1122.6029817565357,16.016230121700666,4.744785188187555,3.359939103401924,14.791756418773026,-0.00536840458 -0.999407708 -0.0339913757 -5484.99626 0.0328958433 0.0337969694 -0.998887195 874.490891 0.999444367 -0.00648060556 0.0326949236 27392.882 0 0 0 1,-0.303167208446 -0.944676868464 -0.125200871051 -4532.73662002 0.0722217784314 0.108228838563 -0.991499134243 382.09499927 0.950196641519 -0.3096322541 0.0354148086708 24934.9049751 0 0 0 1,-0.0522589758039 -0.998218715191 -0.0287822000682 -5093.67179871 0.00661111390218 0.0284751337022 -0.999572634697 633.615612984 0.998611688614 -0.0524269528687 0.00511125661433 23995.5825806 0 0 0 1
image_3697023456812,1,152,1,0,87,0.546525892,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3697023456812_0.json,0,1003.2546391972211,14.73463492256961,3.0132387103253033,2.321148949230928,14.176964832752354,0.00425444321 -0.999990865 -0.000412656893 -5338.39668 0.0227464443 0.00050932818 -0.999741136 866.917743 0.999732214 0.00424395541 0.0227484034 26761.7037 0 0 0 1,-0.295197897913 -0.951017398203 -0.091782950699 -4396.69606671 0.0526068415274 0.0797396152064 -0.995426598572 431.050933005 0.953986751484 -0.298676250705 0.0264910547503 24289.0283713 0 0 0 1,-0.0538280270994 -0.998109161854 -0.029674327001 -5092.94939041 0.005077698268 0.0294434279203 -0.999553501606 585.263729095 0.998537302017 -0.0539546199143 0.00348321651109 23583.3587646 0 0 0 1
image_3697323941807,1,154,1,0,89,0.563783706,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3697323941807_0.json,0,980.3011208136463,15.471481572883203,3.3746625103406718,1.4132338644105618,14.993662959090328,-0.00992200187 -0.999940462 -0.00454168725 -5145.9683 0.00662148399 0.00447611031 -0.99996806 816.219942 0.999928852 -0.00995175767 0.00657667779 24450.15 0 0 0 1,-0.30857544338 -0.946349251311 -0.0959389955911 -4170.75295863 0.0384230422864 0.0883775834483 -0.99534570537 416.445487521 0.950423518713 -0.310825510136 0.00909046530485 21984.3765683 0 0 0 1,-0.0530650280416 -0.998063802719 -0.0324432477355 -5077.30102539 0.0056417491287 0.0321888588369 -0.999465882778 574.039459229 0.998575150967 -0.0532196983695 0.00392272137105 22322.4964142 0 0 0 1
image_3697523313954,1,156,1,0,91,1.0,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3697523313954_0.json,0,823.7656488108029,15.97595615871563,4.3868485574404685,2.9052701732760324,14.979178100756004,-0.00910029151 -0.999484612 -0.0307846606 -5300.37718 0.0268697298 0.0305304025 -0.999172614 754.294327 0.99959752 -0.00991993757 0.0265780459 23788.0495 0 0 0 1,-0.306847889406 -0.943903417746 -0.122027500969 -4337.58125746 0.0655060372967 0.106963720314 -0.992102677165 279.83356692 0.949501622735 -0.312418150441 0.0290097806632 21330.6496151 0 0 0 1,-0.0527957566082 -0.998031258583 -0.0338545627892 -5062.91294098 0.00641308818012 0.033562283963 -0.999416053295 578.181862831 0.99858468771 -0.0529820472002 0.00462851533666 21582.5862885 0 0 0 1
image_3697628283541,1,157,1,0,92,0.659247456,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3697628283541_0.json,0,791.2722962946655,15.100965794812973,3.5060441142172096,1.1178382670726297,14.614082116107602,-0.00437358491 -0.999959666 -0.00784460095 -5260.80043 0.00307572747 0.0078311872 -0.999964606 798.951473 0.999985706 -0.00439755797 0.00304135305 23461.662 0 0 0 1,-0.30318819089 -0.947752162991 -0.0992106752659 -4300.56752584 0.0360455234044 0.0926305415106 -0.995047890238 404.769031346 0.952248728857 -0.305262870421 0.00607773646921 20989.1175266 0 0 0 1,-0.0538906492293 -0.997928202152 -0.0351436808705 -5051.90849304 0.00804239045829 0.0347599126399 -0.999363303185 601.40144825 0.998514473438 -0.0541390143335 0.00615249294788 21140.5582428 0 0 0 1
image_3697727617693,1,158,1,0,93,0.553199187,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3697727617693_0.json,0,814.7432107502971,15.180562700688212,3.2017510050752276,0.9478960260323668,14.784408791883228,-0.00699419413 -0.999973679 -0.00192924783 -5215.23219 0.00123717243 0.00192064032 -0.99999739 842.145756 0.999974775 -0.00699656269 0.00122370654 23262.3113 0 0 0 1,-0.305873600046 -0.94748655403 -0.0933304353791 -4246.24967183 0.0325243003534 0.0875727251135 -0.995627032158 458.135931635 0.951516426876 -0.307571531907 0.00403015257423 20791.5801267 0 0 0 1,-0.0536157004535 -0.997941076756 -0.0352000929415 -5052.66475677 0.00734231295064 0.0348558574915 -0.999365389347 566.470682621 0.998534560204 -0.0538401380181 0.00545837171376 20833.5895538 0 0 0 1
image_3697824260173,1,159,1,0,94,0.803911921,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/front/EPnPv2_gt_mesh_z_hybrid_labels/3697824260173_0.json,0,718.4595439885472,15.54417683628559,4.091036721957281,1.5498468326304726,14.864251572380773,-0.00843640168 -0.999786394 -0.0188677755 -5326.80914 0.0083558474 0.018797305 -0.999788398 884.063538 0.999929501 -0.00859227278 0.00819548093 23190.1309 0 0 0 1,-0.306671750133 -0.9454160551 -0.11018584248 -4360.85298317 0.0443574415263 0.101442374226 -0.99385203211 466.419960975 0.950781181464 -0.309673904273 0.0108267269461 20723.67479 0 0 0 1,-0.0534848831594 -0.997984528542 -0.0341478027403 -5046.27323151 0.00898556876928 0.0337143652141 -0.999391078949 587.034106255 0.998528242111 -0.0537591576576 0.00716424919665 20545.249939 0 0 0 1
