abs_depth_change_m_count,abs_depth_change_m_max,abs_depth_change_m_mean,abs_depth_change_m_median,abs_depth_change_m_p90,abs_depth_change_m_std,abs_depth_change_m_variance,abs_distance_change_m_count,abs_distance_change_m_max,abs_distance_change_m_mean,abs_distance_change_m_median,abs_distance_change_m_p90,abs_distance_change_m_std,abs_distance_change_m_variance,confidence_threshold,lateral_change_m_count,lateral_change_m_max,lateral_change_m_mean,lateral_change_m_median,lateral_change_m_p90,lateral_change_m_std,lateral_change_m_variance,matched_predictions,model,model_score_count,model_score_max,model_score_mean,model_score_median,model_score_p90,model_score_std,model_score_variance,normalized_center_change_count,normalized_center_change_max,normalized_center_change_mean,normalized_center_change_median,normalized_center_change_p90,normalized_center_change_std,normalized_center_change_variance,projected_center_change_px_count,projected_center_change_px_max,projected_center_change_px_mean,projected_center_change_px_median,projected_center_change_px_p90,projected_center_change_px_std,projected_center_change_px_variance,relative_translation_change_count,relative_translation_change_max,relative_translation_change_mean,relative_translation_change_median,relative_translation_change_p90,relative_translation_change_std,relative_translation_change_variance,retained_fraction,retained_predictions,rotation_change_deg_count,rotation_change_deg_max,rotation_change_deg_mean,rotation_change_deg_median,rotation_change_deg_p90,rotation_change_deg_std,rotation_change_deg_variance,total_matched_predictions,translation_change_m_count,translation_change_m_max,translation_change_m_mean,translation_change_m_median,translation_change_m_p90,translation_change_m_std,translation_change_m_variance
212,57.720713625,5.329347713297466,3.3628844546874976,10.618742652500002,7.8659162263427005,61.87263807984139,212,74.68014718153248,5.861425959961413,3.4484000415740486,10.762653952073384,9.544761697005598,91.10247585262518,0.0,212,47.38799939203262,2.1791746800959264,0.8313094294671182,2.3065263480498652,5.536591263583418,30.653842819988224,212,selector,212,0.769814193,0.20437324491981135,0.18197932049999999,0.32094335230000004,0.10058723995212698,0.01011779284118677,212,0.16005090091309498,0.024655825487369318,0.01856680370233513,0.050615197870859586,0.024158919594233812,0.0005836533959606544,0,nan,nan,nan,nan,nan,nan,212,0.4728465978537966,0.1297309727209171,0.11731125730243043,0.24545488064119095,0.08584371558825628,0.007369143505997434,1.0,212,212,179.9864373991016,134.85273665756395,163.7704526375581,178.8336452525939,59.271509159643955,3513.111798061757,212,212,74.68134484433541,5.929218398856528,3.5325522739370236,10.766416649992657,9.514283967492823,90.52159941409096
11,57.720713625,18.20032458835228,8.394914131250005,45.564946375000005,17.976535545203994,323.1558302079827,11,74.68014718153248,22.05176524075492,8.452972478579575,57.19227391870234,23.400592545929563,547.5877315006142,0.35,11,47.38799939203262,11.958527769659524,2.3725045414109465,34.56818714022663,15.394933392751676,237.00397416726062,11,selector,11,0.769814193,0.482338545,0.398112386,0.754497409,0.15354145053750579,0.023574977033161335,11,0.16005090091309498,0.03866087380850543,0.0047687038144647595,0.12274276427745906,0.05742957150848006,0.0032981556836476247,0,nan,nan,nan,nan,nan,nan,11,0.4728465978537966,0.21262990468664,0.16976692792441186,0.3215453080689485,0.10796498360321363,0.011656437684442187,0.05188679245283019,11,11,179.15929105388682,146.54341338299767,172.59646703492578,179.15868349600214,43.370862927002854,1881.0317510328705,212,11,74.68134484433541,22.1154380188447,8.456925279175936,57.19374004485417,23.352203475239335,545.3254071489802
3,57.720713625,29.385845681770842,28.188067500000017,51.81418440000001,22.662164170370026,513.5736848848029,3,74.68014718153248,37.10622702895858,34.56079240727939,66.65627622668185,29.694407507325582,881.7578372111138,0.5,3,47.38799939203262,22.70454890255746,20.009756073023002,41.9123507282307,19.148852899904576,366.67856738218387,3,selector,3,0.769814193,0.7249261936666667,0.754497409,0.7667508362,0.0530206372060806,0.002811187969738818,3,0.12274276427745906,0.04362055465096437,0.004781408840149468,0.09915049318999715,0.05595095630362612,0.0031305095112902797,0,nan,nan,nan,nan,nan,nan,3,0.3215453080689485,0.2113073719264054,0.15987279127149367,0.28921080470945754,0.07800801939270681,0.006085251089572923,0.014150943396226415,3,3,179.15929105388682,142.13083447847592,138.92080541650796,171.11159392641105,29.012048775280505,841.698974139255,212,3,74.68134484433541,37.203153445329015,34.568157131765616,66.65870730182145,29.58381471838551,875.2020932917632
2,57.720713625,42.95439056250001,42.95439056250001,54.7674490125,14.766323062499993,218.04429678611916,2,74.68014718153248,54.620469794405935,54.620469794405935,70.66821170410716,20.05967738712654,402.3906568755959,0.67,2,47.38799939203262,33.69887773252781,33.69887773252781,44.65017506013166,13.689121659504808,187.3920518087237,2,selector,2,0.769814193,0.762155801,0.762155801,0.7682825146,0.007658392000000014,5.8650968025664215e-05,2,0.004781408840149468,0.004059449837717025,0.004059449837717025,0.00463701703966298,0.0007219590024324432,5.212248011932486e-07,0,nan,nan,nan,nan,nan,nan,2,0.3215453080689485,0.24070904967022108,0.24070904967022108,0.305378056389203,0.0808362583987274,0.006534500671905827,0.009433962264150943,2,2,179.15929105388682,159.0400482351974,159.0400482351974,175.13544249014893,20.11924281868943,404.7839315973862,212,2,74.68134484433541,54.624750988050515,54.624750988050515,70.67002607307843,20.0565938562849,402.2669571159651
0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.8,0,nan,nan,nan,nan,nan,nan,0,selector,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.0,0,0,nan,nan,nan,nan,nan,nan,212,0,nan,nan,nan,nan,nan,nan
212,57.720713625,5.2661700756117344,3.4325498281250013,10.200167574375,7.768937548311419,60.35639062956303,212,74.68014718153248,5.877323041836473,3.4604731441452294,10.295596776014445,9.565316181406995,91.49527365028649,0.0,212,47.38799939203262,2.3223168095258964,0.8186173962689229,2.5277499736999673,5.802260701330248,33.666229246201375,212,translation_cascade,212,0.769814193,0.20437324491981135,0.18197932049999999,0.32094335230000004,0.10058723995212698,0.01011779284118677,212,0.14083629592692454,0.0262958391858569,0.02191914507553197,0.05451010943945639,0.02330199542171839,0.0005429829906337847,0,nan,nan,nan,nan,nan,nan,212,0.42125850382658914,0.12582840674575327,0.1093952624597648,0.23607783260975307,0.08321866511995164,0.0069253462243466565,1.0,212,212,179.9864373990829,134.85273665597407,163.7704526517081,178.83364520367005,59.271509139981156,3513.1117957308693,212,212,74.68134484433541,5.968908948516423,3.5119413814354665,10.30059247266229,9.566632033749391,91.52044846916
11,57.720713625,17.213207688352274,8.662850831249997,42.167950375000004,18.291898056058756,334.5935344932461,11,74.68014718153248,21.199119759672787,8.72533416469475,53.55270501505032,23.568933981595425,555.4946490288036,0.35,11,47.38799939203262,11.970142214681811,2.8721151137888277,33.02313948410793,15.36650060074037,236.12934071255415,11,translation_cascade,11,0.769814193,0.482338545,0.398112386,0.754497409,0.15354145053750579,0.023574977033161335,11,0.14083629592692454,0.04432151563759885,0.00977782551138855,0.1390777836535123,0.05250424675373062,0.0027566959271766323,0,nan,nan,nan,nan,nan,nan,11,0.42125850382658914,0.20400038234732298,0.20149941274083108,0.37278662029031046,0.11914032601181951,0.014194417282202637,0.05188679245283019,11,11,179.15929105331918,146.54341339112477,172.59646704222783,179.158683495434,43.37086292361136,1881.031750738687,212,11,74.68134484433541,21.38575806636807,8.728882348709856,53.55990832904133,23.514911241478895,552.9510506946306
3,57.720713625,31.811675215104174,36.61926550000001,53.500424,23.365947259823653,545.9674913488604,3,74.68014718153248,39.64068786799552,43.48020322650535,68.44015839052705,30.298956300632437,918.026752907634,0.5,3,47.38799939203262,23.703132414346157,23.606534485038722,42.63170641063384,19.299297842230473,372.4628972031218,3,translation_cascade,3,0.769814193,0.7249261936666667,0.754497409,0.7667508362,0.0530206372060806,0.002811187969738818,3,0.09367358918303623,0.03962704981660182,0.021870069431484642,0.07931288523272591,0.03895840029631386,0.0015177569536478277,0,nan,nan,nan,nan,nan,nan,3,0.3215453080689485,0.19806549438193377,0.20149941274083108,0.297536129003325,0.1022515714065021,0.010455383855098997,0.014150943396226415,3,3,179.15929105331918,142.13083455378558,138.92080541492035,171.11159392563943,29.012048686474024,841.6989689863391,212,3,74.68134484433541,39.783728223833826,43.568785571241406,68.45883298971661,30.15802585394823,909.50652340741
2,57.720713625,47.16998956250001,47.16998956250001,55.610568812500006,10.550724062499995,111.3177782430164,2,74.68014718153248,59.080175204018914,59.080175204018914,71.56015278602976,15.599971977513562,243.3591256992084,0.67,2,47.38799939203262,35.497266938535674,35.497266938535674,45.00985290133323,11.890732453496948,141.38951828064555,2,translation_cascade,2,0.769814193,0.762155801,0.762155801,0.7682825146,0.007658392000000014,5.8650968025664215e-05,2,0.021870069431484642,0.012603780133384613,0.012603780133384613,0.020016811571864638,0.009266289298100031,8.586411735608316e-05,0,nan,nan,nan,nan,nan,nan,2,0.3215453080689485,0.2615223604048898,0.2615223604048898,0.30954071853613674,0.060022947664058704,0.00360275424628233,0.009433962264150943,2,2,179.15929105331918,159.04004823411975,159.04004823411975,175.1354424894793,20.119242819199414,404.7839316179072,212,2,74.68134484433541,59.12506520778841,59.12506520778841,71.57008891702601,15.556279636547004,241.99783613044698
0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.8,0,nan,nan,nan,nan,nan,nan,0,translation_cascade,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.0,0,0,nan,nan,nan,nan,nan,nan,212,0,nan,nan,nan,nan,nan,nan
