abs_depth_change_m_count,abs_depth_change_m_max,abs_depth_change_m_mean,abs_depth_change_m_median,abs_depth_change_m_p90,abs_depth_change_m_std,abs_depth_change_m_variance,abs_distance_change_m_count,abs_distance_change_m_max,abs_distance_change_m_mean,abs_distance_change_m_median,abs_distance_change_m_p90,abs_distance_change_m_std,abs_distance_change_m_variance,camera_id,distance_bin_end_m,distance_bin_start_m,lateral_change_m_count,lateral_change_m_max,lateral_change_m_mean,lateral_change_m_median,lateral_change_m_p90,lateral_change_m_std,lateral_change_m_variance,matched_predictions,model,model_score_count,model_score_max,model_score_mean,model_score_median,model_score_p90,model_score_std,model_score_variance,normalized_center_change_count,normalized_center_change_max,normalized_center_change_mean,normalized_center_change_median,normalized_center_change_p90,normalized_center_change_std,normalized_center_change_variance,projected_center_change_px_count,projected_center_change_px_max,projected_center_change_px_mean,projected_center_change_px_median,projected_center_change_px_p90,projected_center_change_px_std,projected_center_change_px_variance,relative_translation_change_count,relative_translation_change_max,relative_translation_change_mean,relative_translation_change_median,relative_translation_change_p90,relative_translation_change_std,relative_translation_change_variance,rotation_change_deg_count,rotation_change_deg_max,rotation_change_deg_mean,rotation_change_deg_median,rotation_change_deg_p90,rotation_change_deg_std,rotation_change_deg_variance,translation_change_m_count,translation_change_m_max,translation_change_m_mean,translation_change_m_median,translation_change_m_p90,translation_change_m_std,translation_change_m_variance
3,1.4476288340624999,1.2248575508333335,1.3051613328125002,1.4191353338125,0.22205872885550088,0.04931007906092085,3,2.102077887897652,1.7953218570278107,1.7751183435868683,2.036685979035495,0.242638132256808,0.05887326322507225,front,10.0,0.0,3,1.6059039348815598,1.4122190641583598,1.3674439518988617,1.5582119382850201,0.14340241280005409,0.020564251996877118,3,selector,3,0.32136628,0.23219925133333333,0.238355085,0.304764041,0.07544335926771696,0.005691700457597815,3,0.0796781800113769,0.07158093905239668,0.06800900607785801,0.07734434522467312,0.005738827658341439,3.293414289214468e-05,0,nan,nan,nan,nan,nan,nan,3,0.22284524933002298,0.19858369494837613,0.2002080109078587,0.21831780164559011,0.020504793802650138,0.0004204465688891995,3,61.36460035737693,39.0450909103334,46.49190545919441,58.39006137774042,21.906236502504303,479.883197703652,3,2.162072313609614,1.8720849377939304,1.890330411926359,2.107723933272963,0.24456291981541242,0.059811021748639843
81,4.9351050609375005,0.942250539672068,0.6272064571874996,2.2138350234374986,0.9655192201930665,0.9322273645622271,81,5.909905068342615,1.0926718686293577,0.8424062981433487,2.236496892280858,1.146295671440866,1.3139937663640662,front,20.0,10.0,81,3.4235810274518412,0.7102134647836403,0.5204060354724973,1.2298968764054274,0.6360310823523951,0.4045355377183592,81,selector,81,0.650466979,0.15724164945555555,0.13215439,0.234749362,0.08572502700719582,0.007348780255384454,81,0.16005090091309498,0.040332381102090184,0.03467584023915611,0.07816298827565787,0.02760329483477078,0.0007619418857352832,0,nan,nan,nan,nan,nan,nan,81,0.4728465978537966,0.09478870566271966,0.0721823240317702,0.16478360501266348,0.08669071668300461,0.007515280359012974,81,179.97909223680534,99.12426381699612,93.72436004946309,171.3620163093661,66.84800319383251,4468.655531002642,81,5.914277409522285,1.2172448885939025,0.9277394124202284,2.347206445003758,1.1168334829082136,1.247317028544891
36,7.414929803125002,4.4173144203125,4.20371878125,6.809474215625,1.8270677014484407,3.3381763856760887,36,7.568233272019901,4.4745807194226455,4.224898200290635,6.917849309887474,1.921821244586496,3.6933968961439883,front,30.0,20.0,36,2.572893117691417,0.9898883202352109,0.8307022185678061,1.737018106197678,0.5419986509808538,0.2937625376650654,36,selector,36,0.270642191,0.1831171220972222,0.184861839,0.24073492000000002,0.04334255474638681,0.001878577051943538,36,0.045462360390664855,0.029464547271850456,0.029368986042549436,0.03998625819391384,0.009822539663393274,9.648228543893406e-05,0,nan,nan,nan,nan,nan,nan,36,0.32629321451080434,0.18315373219516162,0.19148110688136738,0.2689257051992962,0.06896310140087145,0.004755909354826877,36,179.7877475607046,163.79694434589962,161.2150830888308,177.40671396786968,7.823658762635819,61.209636434168246,36,7.568928205551773,4.543632611855064,4.2792225361777785,6.936806884516461,1.8654455731184234,3.479887186267123
20,11.448712931250004,6.1779297442187495,5.832596565625003,9.196100605624999,2.870447006484833,8.239466017037739,20,11.569837634403417,6.315651287204837,6.436844353992916,9.25295758982776,2.8802036969101272,8.295573335694764,front,40.0,30.0,20,4.795851748626984,1.0982812238091824,0.9754819267029898,1.3408725090319988,0.9324368151454864,0.8694384142386579,20,selector,20,0.311402947,0.17733281780000001,0.1729729325,0.2706408532,0.052625763498209556,0.002769470983769485,20,0.024744694043039726,0.01763628845548139,0.01832924350674528,0.02439854362758293,0.0056499254306003706,3.1921657371344786e-05,0,nan,nan,nan,nan,nan,nan,20,0.3075245417153605,0.18148730046596212,0.19477955423089222,0.2727676751461767,0.07902048797115134,0.006244237519198875,20,168.39694668762763,141.65901475947948,161.20600454331196,165.21888756073042,50.454691972268265,2545.6759420164717,20,11.57921252263526,6.34815966665435,6.454257629256711,9.271492237615,2.86056128216367,8.18281084901386
19,15.149848356249997,6.412352219078946,5.711994274999995,9.535964599999998,3.1952324321832477,10.209510295675674,19,15.271802944900706,6.469808944731872,5.768102824887201,9.64105732831234,3.2254267787818836,10.403377905283277,front,50.0,40.0,19,1.9607804965547904,0.9416456758065946,0.8628449813473754,1.429451058699496,0.3878332730102553,0.15041464765384718,19,selector,19,0.344060361,0.2657226935263158,0.283329666,0.3274365366,0.06019098038593393,0.0036229541198198826,19,0.018128600791155917,0.0070591723329298545,0.006160068373539909,0.009970308531201184,0.0034847003510233595,1.2143136536422326e-05,0,nan,nan,nan,nan,nan,nan,19,0.305757983762375,0.1423964594397917,0.1281269937894655,0.2056064923786359,0.06400070627458963,0.004096090403646296,19,179.9547072697786,171.38350828200944,176.5209308469998,179.2241822666884,12.382109922707427,153.31664613800973,19,15.2762091296578,6.4997612712516215,5.774582038088823,9.643193034044083,3.1808781681100218,10.117985920358969
14,16.152121162499995,6.409270160267857,6.379266790625,10.657383256874999,4.160630878563509,17.310849307656163,14,16.314253753992702,6.462410494113803,6.4432432729581315,10.733903375344196,4.196868068205266,17.613701581920996,front,60.0,50.0,14,2.314322727019091,0.8803786102284107,0.9100818057858773,1.3199405897506569,0.5346917564910015,0.28589527445943247,14,selector,14,0.375001103,0.278060548,0.2858206925,0.3324286755,0.06359825838816693,0.004044738470008046,14,0.007653957385724807,0.005191166597966597,0.00528999638450732,0.00706905351760749,0.0018509568349952242,3.4260412050155377e-06,0,nan,nan,nan,nan,nan,nan,14,0.3177642844140126,0.11945490032772109,0.11291766729051249,0.1988922470294639,0.07986859611773929,0.006378992645818559,14,179.9864373991016,161.45930169827588,171.91382290843967,179.74200702486746,45.00802894346884,2025.7226693761288,14,16.31708024534038,6.471036721033826,6.447307775206708,10.738911681707883,4.192402511901146,17.57623882179504
11,11.479207374999994,6.373074851704548,7.321597337500009,10.572930200000002,3.4144821376599075,11.65868826839857,11,11.636796732556299,6.476301837191422,7.37611392785,10.771242281092718,3.4693653917413974,12.03649622141294,front,70.0,60.0,11,2.071251688752657,1.1876909339854562,1.0237845761420306,1.9353552450005906,0.5940219872461179,0.3528621213318271,11,selector,11,0.356516182,0.27998240972727273,0.279328525,0.333081067,0.039948446229275646,0.0015958783561333275,11,0.005709999588866464,0.0038452305705227426,0.0038082110205695545,0.005161833501563922,0.0009745571831553336,9.497617032396583e-07,0,nan,nan,nan,nan,nan,nan,11,0.18227776745987925,0.09866981268471466,0.10929191352544189,0.154748370379441,0.05217629699899566,0.0027223659685274037,11,179.91453588301016,175.8799724370339,177.47281236182482,179.2050363329042,5.413523181757066,29.30623323942115,11,11.63922492630059,6.486108531893763,7.378513364117344,10.77390071293739,3.45957212994982,11.968639322325533
10,13.741813012500003,6.352965476250001,5.77390034375,9.944478382499996,3.5620672133293545,12.688322832275954,10,13.87981893809713,6.50760023386365,5.946890594168025,10.16838115415147,3.6125413508328093,13.050455011476938,front,80.0,70.0,10,2.145385546943335,1.4032738463668801,1.443111458010589,2.138969006561511,0.6628988450140754,0.4394348787209951,10,selector,10,0.378172547,0.2611006692,0.244764656,0.3731788367,0.06778484597077401,0.004594785343281558,10,0.0047687038144647595,0.003218827438764051,0.003420107992267579,0.004652858778545898,0.0013640780790722565,1.860709005805457e-06,0,nan,nan,nan,nan,nan,nan,10,0.196543210852445,0.08708047684011717,0.07790290369814871,0.13582258577739545,0.04990725211641944,0.002490733813811853,10,179.91810148592464,158.00518369925314,177.24095272360745,179.24626425214876,52.850094952115434,2793.132536447617,10,13.88300298721237,6.511995723757231,5.951915370153181,10.172002515039587,3.612619165520524,13.051017235086206
2,14.597926762499995,8.697877662499998,8.697877662499998,13.417916942499996,5.900049099999997,34.81057938241077,2,15.213151442830195,9.063910786351585,9.063910786351585,13.983303311534474,6.149240656478611,37.81316065128949,front,90.0,80.0,2,4.286478689434448,2.579004500105734,2.579004500105734,3.944983851568705,1.7074741893287142,2.9154681072237496,2,selector,2,0.220622763,0.198901035,0.198901035,0.2162784174,0.021721727999999996,0.0004718334673059838,2,0.003976592220920257,0.0032718181096595875,0.0032718181096595875,0.003835637398668123,0.0007047741112606695,4.967065479032666e-07,0,nan,nan,nan,nan,nan,nan,2,0.18514590427493538,0.11076443900065469,0.11076443900065469,0.17026961122007925,0.07438146527428069,0.005532602376349024,2,177.4048146335868,174.20841332115504,174.20841332115504,176.76553437110044,3.1964013124317603,10.21698135011548,2,15.214248759576966,9.072338506438912,9.072338506438912,13.985866708949356,6.141910253138055,37.723061557602364
1,8.9276086,8.9276086,8.9276086,8.9276086,0.0,0.0,1,9.031876250797367,9.031876250797367,9.031876250797367,9.031876250797367,0.0,0.0,front,100.0,90.0,1,1.4762154277782946,1.4762154277782946,1.4762154277782946,1.4762154277782946,0.0,0.0,1,selector,1,0.0843530446,0.0843530446,0.0843530446,0.0843530446,0.0,0.0,1,0.006415634293327196,0.006415634293327196,0.006415634293327196,0.006415634293327196,0.0,0.0,0,nan,nan,nan,nan,nan,nan,1,0.0985625984557794,0.0985625984557794,0.0985625984557794,0.0985625984557794,0.0,0.0,1,116.8888797184669,116.8888797184669,116.8888797184669,116.8888797184669,0.0,0.0,1,9.04883458264127,9.04883458264127,9.04883458264127,9.04883458264127,0.0,0.0
