abs_depth_change_m_count,abs_depth_change_m_max,abs_depth_change_m_mean,abs_depth_change_m_median,abs_depth_change_m_p90,abs_depth_change_m_std,abs_depth_change_m_variance,abs_distance_change_m_count,abs_distance_change_m_max,abs_distance_change_m_mean,abs_distance_change_m_median,abs_distance_change_m_p90,abs_distance_change_m_std,abs_distance_change_m_variance,confidence_threshold,lateral_change_m_count,lateral_change_m_max,lateral_change_m_mean,lateral_change_m_median,lateral_change_m_p90,lateral_change_m_std,lateral_change_m_variance,matched_predictions,model,model_score_count,model_score_max,model_score_mean,model_score_median,model_score_p90,model_score_std,model_score_variance,normalized_center_change_count,normalized_center_change_max,normalized_center_change_mean,normalized_center_change_median,normalized_center_change_p90,normalized_center_change_std,normalized_center_change_variance,projected_center_change_px_count,projected_center_change_px_max,projected_center_change_px_mean,projected_center_change_px_median,projected_center_change_px_p90,projected_center_change_px_std,projected_center_change_px_variance,relative_translation_change_count,relative_translation_change_max,relative_translation_change_mean,relative_translation_change_median,relative_translation_change_p90,relative_translation_change_std,relative_translation_change_variance,retained_fraction,retained_predictions,rotation_change_deg_count,rotation_change_deg_max,rotation_change_deg_mean,rotation_change_deg_median,rotation_change_deg_p90,rotation_change_deg_std,rotation_change_deg_variance,total_matched_predictions,translation_change_m_count,translation_change_m_max,translation_change_m_mean,translation_change_m_median,translation_change_m_p90,translation_change_m_std,translation_change_m_variance
212,53.062522625,5.017078010658903,3.0502651953124964,9.229587825625002,8.05179276331933,64.83136670344155,212,68.13779442647456,5.645480795023503,3.1492261441339764,9.309892563845265,9.961368962749125,99.22887161202159,0.0,212,42.762355114495364,2.3261736869022744,0.7548768262526772,2.2201597110904454,6.018105800439666,36.217597425285554,212,scipy_graph_camera_anchored,212,1.0,0.7593393484386793,0.7874620335,1.0,0.20677594772943222,0.04275629255940489,212,0.16139038231822475,0.022778455662117735,0.018138312722379247,0.04171564936411633,0.02042430069828019,0.0004171520590137686,0,nan,nan,nan,nan,nan,nan,212,0.5766127770780476,0.11661318674579865,0.10174291613656636,0.21103240230145592,0.08010777183748129,0.006417255108765961,1.0,212,212,179.61075890718885,28.63206121182587,17.314096968035713,50.22146407909523,44.26271935725815,1959.1883248993954,212,212,68.14873676207685,5.713376527348471,3.206748301139036,9.311680539818157,9.949293873041658,98.98844857214426
212,53.062522625,5.017078010658903,3.0502651953124964,9.229587825625002,8.05179276331933,64.83136670344155,212,68.13779442647456,5.645480795023503,3.1492261441339764,9.309892563845265,9.961368962749125,99.22887161202159,0.35,212,42.762355114495364,2.3261736869022744,0.7548768262526772,2.2201597110904454,6.018105800439666,36.217597425285554,212,scipy_graph_camera_anchored,212,1.0,0.7593393484386793,0.7874620335,1.0,0.20677594772943222,0.04275629255940489,212,0.16139038231822475,0.022778455662117735,0.018138312722379247,0.04171564936411633,0.02042430069828019,0.0004171520590137686,0,nan,nan,nan,nan,nan,nan,212,0.5766127770780476,0.11661318674579865,0.10174291613656636,0.21103240230145592,0.08010777183748129,0.006417255108765961,1.0,212,212,179.61075890718885,28.63206121182587,17.314096968035713,50.22146407909523,44.26271935725815,1959.1883248993954,212,212,68.14873676207685,5.713376527348471,3.206748301139036,9.311680539818157,9.949293873041658,98.98844857214426
185,46.831290499999994,4.501735591532095,2.921499921875,8.746671560000001,6.765170901649356,45.76753732852316,185,58.14423606636336,4.96489820873958,2.964452363752862,8.838648611071799,8.201354648341963,67.26221806788034,0.5,185,34.466578066188596,1.860378399269241,0.7533537506229314,1.7437393692623677,4.791450471523408,22.95799762106189,185,scipy_graph_camera_anchored,185,1.0,0.8051319108162163,0.826901196,1.0,0.17986465711070623,0.03235129487755193,185,0.16139038231822475,0.023474209151279325,0.01929495255330658,0.04141933680032762,0.02102531055545961,0.00044206368395352134,0,nan,nan,nan,nan,nan,nan,185,0.5766127770780476,0.11830076173407295,0.10361986443215734,0.2127556270281914,0.08168593704016948,0.006672592310130532,0.8726415094339622,185,185,179.61075890718885,27.085884625131833,17.34505006597856,46.19666025773703,42.08223361167488,1770.9143857475792,212,185,58.14735396807032,5.03625392347005,3.0227729726751984,8.87691180230726,8.190745539476366,67.08831249245199
129,44.309141249999996,4.746895054430717,3.7737601749999996,9.125321561250002,5.878963569605528,34.56221265274897,129,54.45971033426724,5.130919943714951,3.866445039730685,9.235710810295343,7.053460570981618,49.751306026392335,0.67,129,31.677536779607298,1.687657352156181,0.9125686104507722,1.8163754517422883,4.0544379836512805,16.438467363274263,129,scipy_graph_camera_anchored,129,1.0,0.9080503593255813,0.968997093,1.0,0.10244157732270436,0.010494276764363616,129,0.16139038231822475,0.0215102648164229,0.016431110969685796,0.03864456413789786,0.02174669900176508,0.00047291891747337035,0,nan,nan,nan,nan,nan,nan,129,0.5562647889667104,0.12346174209062924,0.1061405591645065,0.21716129908519333,0.07867862412790909,0.0061903258946607986,0.6084905660377359,129,129,178.83690223810044,24.651290218113218,17.482788053323006,29.368325319307413,38.666419892227005,1495.092027282008,212,129,54.46803039155927,5.187201947162634,3.8716519288539377,9.242274008617532,7.033833661058599,49.474815971441025
100,44.309141249999996,5.54246580513125,4.469661223437498,10.028234960000006,6.37731154951922,40.670102599631235,100,54.45971033426724,5.962389380509798,4.509436593621118,10.14705236585094,7.735417228811496,59.83667970379373,0.8,100,31.677536779607298,1.8676674757714897,0.9304810586508856,1.815210172516702,4.56409959184029,20.8310050842367,100,scipy_graph_camera_anchored,100,1.0,0.9540722421900001,0.98013656,1.0,0.060043604465325605,0.003605234437188469,100,0.16139038231822475,0.018282584951899696,0.014191511604026789,0.03449459274471025,0.01926389075676414,0.0003710974870885429,0,nan,nan,nan,nan,nan,nan,100,0.5562647889667104,0.13019539502470823,0.11165379270399325,0.2204336227831129,0.07836727395995755,0.006141429627915041,0.4716981132075472,100,100,178.83690223810044,21.660036542882295,17.536453123259175,23.162299431470903,33.14660361569355,1098.697331255909,212,100,54.46803039155927,6.002381872910868,4.525999389929746,10.153208846091928,7.725259124244494,59.6796285367228
212,54.88730062500001,5.199033673969634,2.8812427046874998,9.429915182500002,8.740809364153087,76.4017483404663,212,70.9971883978117,5.788539205334097,2.989344262316232,9.546535701389072,10.66481593500568,113.7382989275511,0.0,212,45.03531785547984,2.282147105191266,0.8129048708484485,1.9487846332677694,6.226460084474148,38.768805183549816,212,selector_camera_anchored,212,0.443069577,0.14091487324,0.1121657345,0.2788928121,0.09210615414792937,0.008483543631922127,212,0.18722688245081318,0.02119876314426246,0.01650942986639211,0.04053006889710917,0.022973030011179518,0.0005277601078945548,0,nan,nan,nan,nan,nan,nan,212,0.6258384745751268,0.11663093885501856,0.10498044136593399,0.2189943139993553,0.08052676091133536,0.006484559222871368,1.0,212,212,179.38030368902056,28.85595121209127,17.29035034897946,50.46772135616628,44.42876857247009,1973.9154768661062,212,212,70.998560719519,5.849708648111592,3.0626984108233275,9.54973549976281,10.639060522857628,113.18960880902763
5,45.235560375000006,18.904233530000003,13.260221412500002,37.06322247500001,14.96802113579983,224.04165672175046,5,56.726964549732315,22.37415306872167,13.400320625392226,46.13166454840878,19.40153758553941,376.41966068309836,0.35,5,34.231798256004964,11.218089810936446,1.953701036274318,27.457025967347978,13.032267268569953,169.83999015943976,5,selector_camera_anchored,5,0.443069577,0.38293711539999997,0.37262398,0.417110765,0.03095241491512336,0.000958051989077951,5,0.004559685566550606,0.0033671485757220203,0.00439167462158428,0.00452568848132871,0.001493356963456278,2.2301150203033554e-06,0,nan,nan,nan,nan,nan,nan,5,0.25999431246258936,0.15711400985539314,0.16751226773016542,0.23189780438667645,0.06935653424260053,0.004810328842145021,0.02358490566037736,5,5,176.68562604430676,69.52693342099101,22.343892648580468,160.15628690584006,72.05294393500012,5191.6267297002705,212,5,56.728052445682415,22.378212056448973,13.403373442818896,46.13236029598584,19.398784920731618,376.3128564008044
0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.5,0,nan,nan,nan,nan,nan,nan,0,selector_camera_anchored,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.0,0,0,nan,nan,nan,nan,nan,nan,212,0,nan,nan,nan,nan,nan,nan
0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.67,0,nan,nan,nan,nan,nan,nan,0,selector_camera_anchored,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.0,0,0,nan,nan,nan,nan,nan,nan,212,0,nan,nan,nan,nan,nan,nan
0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.8,0,nan,nan,nan,nan,nan,nan,0,selector_camera_anchored,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,0.0,0,0,nan,nan,nan,nan,nan,nan,212,0,nan,nan,nan,nan,nan,nan
