row_index,scene_id,im_id,match_key,score,projection_model,distortion_model,distortion_coefficients,metadata_path,bbox_match_mode,bbox_match_index,bbox_match_distance_px,detection_center_u_px,detection_center_v_px,corrected_center_u_px,corrected_center_v_px,corrected_center_minus_detection_du_px,corrected_center_minus_detection_dv_px,corrected_center_u_metadata_px,corrected_center_v_metadata_px,metadata_minus_detection_du_px,metadata_minus_detection_dv_px,corrected_center_u_pinhole_px,corrected_center_v_pinhole_px,pinhole_minus_detection_du_px,pinhole_minus_detection_dv_px,metadata_minus_pinhole_du_px,metadata_minus_pinhole_dv_px,aligned_gigapose_center_u_px,aligned_gigapose_center_v_px,native_gigapose_center_u_px,native_gigapose_center_v_px,native_gigapose_center_minus_detection_du_px,native_gigapose_center_minus_detection_dv_px,corrected_center_depth_mm,diagnostic_status,diagnostic_error
0,1,1496,image_3857324271885,0.584655112,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/rear/metadata/sample_3857324271885_0.yaml,nearest_projected_center,0,3.4328724449767765,1166.5,124.5,1160.7542403661164,129.10937156731836,-5.745759633883608,4.609371567318362,1160.7542403661164,129.10937156731836,-5.745759633883608,4.609371567318362,1161.22098131478,129.0049702366757,-5.27901868522008,4.504970236675689,-0.4667409486635279,0.10440133064267343,1156.894578949017,129.47033202546388,1167.316806711456,127.83428253445946,0.8168067114559108,3.3342825344594615,32360.1455688,ok,
1,1,2898,image_4097019338143,0.483617634,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/rear/metadata/sample_4097019338143_0.yaml,nearest_projected_center,0,4.700144981318984,1082.5,107.0,1074.4027780390368,111.63960517585318,-8.097221960963225,4.639605175853177,1074.4027780390368,111.63960517585318,-8.097221960963225,4.639605175853177,1074.4332111191416,111.60301129039499,-8.06678888085844,4.6030112903949885,-0.030433080104785404,0.036593885458188424,1080.4346775742456,110.96098173005262,1085.7281059009404,110.41623991220348,3.2281059009403634,3.41623991220348,47123.3558655,ok,
2,1,2871,image_4094029449732,0.99071065,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/rear/metadata/sample_4094029449732_0.yaml,nearest_projected_center,0,6.172673610699986,1089.0,88.5,1078.2510049287732,93.06317514204468,-10.748995071226773,4.563175142044685,1078.2510049287732,93.06317514204468,-10.748995071226773,4.563175142044685,1078.3071347555845,92.97678476197049,-10.692865244415543,4.476784761970492,-0.05612982681122958,0.08639038007419231,1086.3999517569953,94.75966794127332,1091.6340404526939,94.08244842321041,2.634040452693853,5.582448423210408,61920.7611084,ok,
3,1,2042,image_3916723037811,0.44511894,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/rear/metadata/sample_3916723037811_0.yaml,nearest_projected_center,0,12.503234674969283,1181.5,106.0,1176.8725479071256,110.86699419925581,-4.627452092874364,4.866994199255814,1176.8725479071256,110.86699419925581,-4.627452092874364,4.866994199255814,1177.5821469922914,110.63410952355994,-3.9178530077085725,4.6341095235599425,-0.7095990851657916,0.23288467569587112,1162.9331124009902,117.08689946507214,1173.7137801570993,115.78292685730473,-7.786219842900664,9.78292685730473,31361.0191345,ok,
4,1,1119,image_3815724224136,0.973657977,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/rear/metadata/sample_3815724224136_0.yaml,nearest_projected_center,0,3.978965057851549,968.5,101.0,949.6301422320513,103.87628543432986,-18.8698577679487,2.8762854343298585,949.6301422320513,103.87628543432986,-18.8698577679487,2.8762854343298585,949.4179308110104,103.74739724859275,-19.082069188989635,2.7473972485927476,0.2122114210409336,0.12888818573711092,958.1977676961084,103.56638329066487,964.536130600331,101.34626913517029,-3.9638693996689653,0.3462691351702887,34789.9436951,ok,
5,1,2515,image_3969423756658,0.97793231,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/rear/metadata/sample_3969423756658_0.yaml,nearest_projected_center,0,3.4769781738214323,1023.0,108.0,1021.4599085659902,108.29504383792107,-1.5400914340098097,0.2950438379210709,1021.4599085659902,108.29504383792107,-1.5400914340098097,0.2950438379210709,1021.4505735300881,108.2655449026407,-1.5494264699118503,0.2655449026406984,0.009335035902040545,0.029498935280372507,1018.6651814086441,109.63266497786385,1026.464182034289,108.29802693592993,3.464182034289024,0.2980269359299257,43819.7402954,ok,
6,1,1627,image_3871126796950,0.782712014,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/rear/metadata/sample_3871126796950_0.yaml,nearest_projected_center,0,13.002779638919256,1167.0,105.5,1161.4824701862276,113.25195561959505,-5.5175298137723985,7.751955619595051,1161.4824701862276,113.25195561959505,-5.5175298137723985,7.751955619595051,1161.989999391884,113.0745350607537,-5.010000608115888,7.574535060753703,-0.5075292056565104,0.177420558841348,1164.4845482528467,100.96919175315341,1178.6473629814498,99.71975658673037,11.64736298144976,-5.7802434132696305,32628.452301,ok,
7,1,1627,image_3871126796950,0.782712014,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/rear/metadata/sample_3871126796950_1.yaml,nearest_projected_center,0,13.002779638919256,1167.0,105.5,1161.4824701862276,113.25195561959505,-5.5175298137723985,7.751955619595051,1161.4824701862276,113.25195561959505,-5.5175298137723985,7.751955619595051,1161.989999391884,113.0745350607537,-5.010000608115888,7.574535060753703,-0.5075292056565104,0.177420558841348,1164.4845482528467,100.96919175315341,1178.6473629814498,99.71975658673037,11.64736298144976,-5.7802434132696305,32628.452301,ok,
8,1,2306,image_3945820563772,0.450243478,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/rear/metadata/sample_3945820563772_0.yaml,nearest_projected_center,0,4.790656526472816,1177.5,100.5,1161.8657558010732,109.3373024953845,-15.634244198926808,8.837302495384506,1161.8657558010732,109.3373024953845,-15.634244198926808,8.837302495384506,1162.3879961505186,109.13894978979809,-15.112003849481425,8.63894978979809,-0.5222403494453829,0.19835270558641582,1168.750339037315,109.47939878861398,1178.5088347650158,105.18322990803699,1.008834765015763,4.683229908036992,32598.4382629,ok,
9,1,2306,image_3945820563772,0.450243478,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/rear/metadata/sample_3945820563772_1.yaml,nearest_projected_center,0,4.790656526472816,1177.5,100.5,1161.8657558010732,109.3373024953845,-15.634244198926808,8.837302495384506,1161.8657558010732,109.3373024953845,-15.634244198926808,8.837302495384506,1162.3879961505186,109.13894978979809,-15.112003849481425,8.63894978979809,-0.5222403494453829,0.19835270558641582,1168.750339037315,109.47939878861398,1178.5088347650158,105.18322990803699,1.008834765015763,4.683229908036992,32598.4382629,ok,
10,1,1303,image_3835322833404,0.954484157,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/rear/metadata/sample_3835322833404_0.yaml,nearest_projected_center,0,6.644268828003408,1162.0,119.0,1157.0972675198348,121.50020926323039,-4.902732480165241,2.5002092632303885,1157.0972675198348,121.50020926323039,-4.902732480165241,2.5002092632303885,1157.5386880191982,121.37054393017422,-4.461311980801838,2.3705439301742217,-0.441420499363403,0.1296653330561668,1156.5822699481362,126.27485534915715,1165.7759534029924,124.46703614010443,3.7759534029924,5.467036140104426,33132.0457458,ok,
11,1,2282,image_3942823789611,0.967870804,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/rear/metadata/sample_3942823789611_0.yaml,nearest_projected_center,0,3.276901169083515,1169.0,114.5,1152.6112095910235,117.75786391024036,-16.388790408976547,3.25786391024036,1152.6112095910235,117.75786391024036,-16.388790408976547,3.25786391024036,1153.015146580547,117.62155714065099,-15.984853419452975,3.1215571406509923,-0.40393698952357227,0.1363067695893676,1160.0252359431174,119.20624102830374,1166.021528964701,115.86630580904347,-2.9784710352989805,1.3663058090434674,32153.0685425,ok,
12,1,1696,image_3878625520952,0.467657558,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/rear/metadata/sample_3878625520952_0.yaml,nearest_projected_center,0,11.82754777305699,1176.0,122.5,1178.54152789109,125.4437752742104,2.541527891090027,2.9437752742103953,1178.54152789109,125.4437752742104,2.541527891090027,2.9437752742103953,1179.2379408734434,125.28953906103175,3.237940873443449,2.7895390610317463,-0.6964129823534222,0.154236213178649,1176.185656527787,131.32317510599506,1186.186948962838,128.5097385261324,10.18694896283796,6.009738526132395,30002.0141602,ok,
13,1,1696,image_3878625520952,0.467657558,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/rear/metadata/sample_3878625520952_1.yaml,nearest_projected_center,0,11.82754777305699,1176.0,122.5,1178.54152789109,125.4437752742104,2.541527891090027,2.9437752742103953,1178.54152789109,125.4437752742104,2.541527891090027,2.9437752742103953,1179.2379408734434,125.28953906103175,3.237940873443449,2.7895390610317463,-0.6964129823534222,0.154236213178649,1176.185656527787,131.32317510599506,1186.186948962838,128.5097385261324,10.18694896283796,6.009738526132395,30002.0141602,ok,
14,1,2337,image_3949243764414,0.371578925,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/rear/metadata/sample_3949243764414_0.yaml,nearest_projected_center,0,3.20882912577447,1180.5,107.0,1169.7314541621358,116.0392833954989,-10.768545837864167,9.039283395498899,1169.7314541621358,116.0392833954989,-10.768545837864167,9.039283395498899,1170.330898612357,115.85530797910184,-10.169101387642968,8.855307979101838,-0.5994444502211991,0.18397541639706105,1171.1473190568938,113.57913317909129,1180.6010385475638,110.20723799714408,0.10103854756380315,3.2072379971440768,31563.7207031,ok,
15,1,2447,image_3962139764313,0.565349611,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/rear/metadata/sample_3962139764313_0.yaml,nearest_projected_center,0,8.301184022164094,1094.5,109.0,1084.8687161508997,115.68018141991158,-9.631283849100328,6.680181419911577,1084.8687161508997,115.68018141991158,-9.631283849100328,6.680181419911577,1084.9137744982377,115.64159188238146,-9.586225501762328,6.641591882381462,-0.045058347337999294,0.038589537530114626,1084.0983517041957,118.42059607162815,1093.13983790651,117.18899354312025,-1.3601620934900893,8.188993543120247,31571.7067719,ok,
16,1,1743,image_3884122699280,0.403432307,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/rear/metadata/sample_3884122699280_0.yaml,nearest_projected_center,0,6.035793240930191,1132.0,103.5,1119.9025734690638,110.9230401819047,-12.097426530936218,7.423040181904696,1119.9025734690638,110.9230401819047,-12.097426530936218,7.423040181904696,1120.0777235696132,110.82625962430342,-11.922276430386773,7.326259624303418,-0.1751501005494447,0.0967805576012779,1122.6338312873527,110.34786671468672,1134.4895483054293,108.99844971625575,2.4895483054292527,5.498449716255749,42815.1168823,ok,
17,1,2302,image_3945321582156,0.452802947,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/rear/metadata/sample_3945321582156_0.yaml,nearest_projected_center,0,3.769298459687231,1172.5,102.5,1156.5640802388382,106.17699438508404,-15.935919761161813,3.6769943850840434,1156.5640802388382,106.17699438508404,-15.935919761161813,3.6769943850840434,1157.036702595459,105.97706602329467,-15.463297404540981,3.477066023294668,-0.47262235662083185,0.19992836178937523,1165.2044741323066,106.66153087442594,1175.0496774679941,105.27610440859195,2.5496774679941154,2.776104408591948,32566.078186,ok,
18,1,2302,image_3945321582156,0.452802947,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/rear/metadata/sample_3945321582156_1.yaml,nearest_projected_center,0,3.769298459687231,1172.5,102.5,1156.5640802388382,106.17699438508404,-15.935919761161813,3.6769943850840434,1156.5640802388382,106.17699438508404,-15.935919761161813,3.6769943850840434,1157.036702595459,105.97706602329467,-15.463297404540981,3.477066023294668,-0.47262235662083185,0.19992836178937523,1165.2044741323066,106.66153087442594,1175.0496774679941,105.27610440859195,2.5496774679941154,2.776104408591948,32566.078186,ok,
19,1,2024,image_3914723753232,0.53964428,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/rear/metadata/sample_3914723753232_0.yaml,nearest_projected_center,0,11.951720536826054,1158.0,111.0,1154.1153397778048,121.01141757280352,-3.88466022219518,10.011417572803524,1154.1153397778048,121.01141757280352,-3.88466022219518,10.011417572803524,1154.5274356362859,120.88557155466702,-3.4725643637141275,9.885571554667024,-0.41209585848105235,0.12584601813649954,1141.8840412188242,123.52045986634171,1150.7936705992342,120.53480153742325,-7.206329400765753,9.534801537423249,32696.9985962,ok,
20,1,2904,image_4097720639320,1.0,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/rear/metadata/sample_4097720639320_0.yaml,nearest_projected_center,0,7.6246442314606275,973.5,108.0,967.9539448616094,112.4941706758561,-5.546055138390557,4.494170675856097,967.9539448616094,112.4941706758561,-5.546055138390557,4.494170675856097,967.8457904178285,112.42453836307757,-5.654209582171461,4.424538363077573,0.10815444378090433,0.06963231277852344,972.5155776133278,113.80853823791259,980.0087206548869,111.97136690485708,6.508720654886929,3.971366904857078,44319.6411133,ok,
21,1,1804,image_3890422110873,0.502277843,metadata,equidistant,0.0924905339625 0.131384368102 -0.117522324082 0.137446016536,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/rear/metadata/sample_3890422110873_0.yaml,nearest_projected_center,0,10.3413781741219,1166.5,109.5,1161.3325999792623,113.99615471969906,-5.167400020737659,4.496154719699064,1161.3325999792623,113.99615471969906,-5.167400020737659,4.496154719699064,1161.836575629378,113.8227765412818,-4.663424370621897,4.322776541281797,-0.5039756501157626,0.17337817841726633,1154.4515697117565,120.83668416832808,1165.3318350724207,119.77518823390494,-1.1681649275792552,10.275188233904942,33016.368866,ok,
