match_key,scene_id,im_id,obj_id,instance_id,prediction_row_index,score,epnp_label_path,epnp_record_index,translation_error_mm,rotation_error_deg,roll_error_deg,pitch_error_deg,yaw_error_deg,T_gigapose_cam_obj,T_gigapose_aligned_epnp_obj,T_epnp_obj
image_3600197802821,1,0,1,0,0,0.951178076,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3600197802821_0.json,0,33061.07401222898,9.999435740301983,9.660689061855093,2.1087271295486554,1.682049038627799,0.0233157948 -0.988069104 0.152236068 -2228.48234 -0.00464218625 -0.152382826 -0.988310642 7698.72316 0.999717372 0.0223365399 -0.0081397275 177770.082 0 0 0 1,0.032748573884 -0.989758494554 0.138944788797 -2256.39830211 0.00336725965034 -0.138909305994 -0.990299382467 7614.24027236 0.999457949356 0.0328987556208 -0.00121630782328 174181.129004 0 0 0 1,0.00445844931528 -0.999600946903 -0.0278952624649 -2048.23541641 0.0409861132503 0.0280547682196 -0.998765826225 6451.62725449 0.999149858952 0.00330962985754 0.0410948358476 141141.159058 0 0 0 1
image_3600288180244,1,1,1,0,1,0.935962018,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3600288180244_0.json,0,37525.36510348267,4.8485395401312985,4.500420770574739,0.971509937409117,1.5593612746649457,0.0196700715 -0.997781804 0.0635968474 -2653.18059 0.0167810146 -0.0632707148 -0.997855307 8085.85568 0.999665687 0.0206951049 0.0154992516 181746.801 0 0 0 1,0.0297797434218 -0.998297142389 0.0501595602565 -2677.24299159 0.0239108230761 -0.0494559801215 -0.998490049064 7919.92844136 0.999270453555 0.0309341338872 0.0223973200186 178160.662489 0 0 0 1,0.00305491941981 -0.999608337879 -0.0278188996017 -2266.75271988 0.0416258722544 0.0279220342636 -0.998743057251 6537.70017624 0.999128580093 0.00189310568385 0.0416948609054 140663.009644 0 0 0 1
image_3600383322928,1,2,1,0,2,0.999686281,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3600383322928_0.json,0,40054.040126716114,5.0427278815052,0.07959669142545453,4.876425067814293,1.2856780258498488,0.0147597261 -0.999793634 -0.0139584961 -3075.75925 0.120596277 0.0156380977 -0.992578454 8467.81831 0.992591904 0.0129668434 0.120802204 183419.263 0 0 0 1,0.0253933722101 -0.999300680992 -0.0274467727014 -3090.53402269 0.126851737085 0.0304547051087 -0.991454057032 7926.82041853 0.991596597854 0.0216946910555 0.12753637485 179870.234506 0 0 0 1,0.000657914206386 -0.999604165554 -0.0281227864325 -2605.84449768 0.0427503958344 0.028125198558 -0.998689889908 6663.69056702 0.999085605145 -0.000545208225958 0.0427519790828 139839.050293 0 0 0 1
image_3600484588043,1,3,1,0,3,0.970665258,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3600484588043_0.json,0,40082.73300311441,4.200275237919408,2.047187858049065,3.183353126212064,1.7659953606367558,0.0188895455 -0.999556002 0.0230431087 -3496.93181 0.0907385838 -0.0212382501 -0.995648254 8522.58279 0.995695583 0.020898242 0.0902971151 182787.744 0 0 0 1,0.029280683793 -0.999525309107 0.00958117601155 -3522.52148268 0.0974051338278 -0.00668648564054 -0.995222352223 8089.85153962 0.99481399316 0.0300740466809 0.0971631115637 179223.955412 0 0 0 1,-0.00302257551812 -0.999611198902 -0.0277162250131 -3118.38459969 0.0428804717958 0.0275612995028 -0.998699963093 6669.29340363 0.999075651169 -0.00420713145286 0.0427804999053 139168.441772 0 0 0 1
image_3600584554747,1,4,1,0,4,0.976646735,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3600584554747_0.json,0,39116.63934072235,2.8420777638632297,0.7015422340262053,2.460880925772819,1.221960725719584,0.00584974467 -0.999982785 -0.000458329244 -4037.59816 0.078470152 0.000915961898 -0.996916043 8249.78076 0.996899301 0.00579573914 0.0784741593 181245.693 0 0 0 1,0.0163986181257 -0.999767379551 -0.0140097103833 -4018.93044059 0.0849122039668 0.0153534704438 -0.996270138614 7860.05385872 0.996253483579 0.0151478581648 0.0851442273715 177676.902626 0 0 0 1,-0.00606247456744 -0.999619007111 -0.0269296318293 -3562.20602989 0.0426460206509 0.0266471765935 -0.99873483181 6620.35274506 0.999071896076 -0.00720324227586 0.0424682199955 138582.580566 0 0 0 1
image_3600692674081,1,5,1,0,5,0.979027348,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3600692674081_0.json,0,37417.72175120721,1.7976335623844653,0.24998373787510367,1.6739970288958699,0.6022606752916262,-0.00854754598 -0.999927462 -0.00848583914 -4696.66768 0.0654978882 0.00790807907 -0.997821371 8098.30141 0.997816098 -0.00908472859 0.0654255425 178945.878 0 0 0 1,0.0020538466115 -0.999752972219 -0.0221308726437 -4627.21248978 0.0718730556556 0.0222212642149 -0.99716622425 7754.74571671 0.997411672738 0.000457413033441 0.0719009401395 175372.973618 0 0 0 1,-0.00922852568328 -0.999605059624 -0.0265413019806 -4007.04956055 0.0429926067591 0.0261212550104 -0.998733878136 6648.6582756 0.999032914639 -0.0103579424322 0.0427345708013 137976.745605 0 0 0 1
image_3600784095974,1,6,1,0,6,0.978322135,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3600784095974_0.json,0,34845.0011294632,3.440124611516219,0.5339380088061286,1.4824670777618032,3.0651122996217017,0.0317389447 -0.999279021 -0.0208345483 -5314.4978 0.0606465456 0.0227320512 -0.997900421 8068.35413 0.997654567 0.0304087629 0.061324312 175912.784 0 0 0 1,0.0424104038556 -0.998514666198 -0.0342026293744 -5390.96356143 0.0668662551919 0.0369933906065 -0.997075921304 7741.60880521 0.996860201193 0.0399993907508 0.0683358410833 172338.446196 0 0 0 1,-0.011713700369 -0.999593615532 -0.0259850136936 -4367.29192734 0.0424631200731 0.0254660900682 -0.99877345562 6571.28810883 0.999029517174 -0.0128027508035 0.0421475619078 137528.152466 0 0 0 1
image_3600889245087,1,7,1,0,7,0.642599182,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3600889245087_0.json,0,32297.36601485566,3.868285822900998,1.4602200128584237,2.5923937968791493,2.505625937547572,0.019697243 -0.999237221 -0.0337193677 -5902.9795 0.0813845554 0.0352164412 -0.996060418 8044.92418 0.99648812 0.0168754084 0.0820161438 172889.837 0 0 0 1,0.0304526476717 -0.998422799899 -0.0471651339808 -5937.63638877 0.0874590904706 0.0496676637654 -0.994929158566 7643.47061544 0.995702538052 0.0261732074547 0.0888336618791 169322.46623 0 0 0 1,-0.014275376685 -0.999632060528 -0.0230622906238 -4736.66572571 0.0433477126062 0.0224242545664 -0.998808383942 6671.09298706 0.998958051205 -0.0152580766007 0.0430116504431 137062.088013 0 0 0 1
image_3600987786989,1,8,1,0,8,1.0,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3600987786989_0.json,0,30021.543007426804,1.9902400039419714,0.7282559137754384,0.4627645719774469,1.7964419059270476,-0.058386301 -0.998281862 0.00493590334 -6187.71495 0.0451498081 -0.00757988146 -0.99895147 8024.62387 0.997272548 -0.0581022261 0.0455147958 170184.613 0 0 0 1,-0.0478853882585 -0.9988121243 -0.00901827189868 -5938.03811089 0.0516971989233 0.00653824588071 -0.998641402183 7754.5735332 0.997514104925 -0.0482865506388 0.0513227027013 166613.445885 0 0 0 1,-0.0167302265763 -0.999632537365 -0.0213251039386 -5074.35321808 0.043006837368 0.0205889027566 -0.998862624168 6616.13988876 0.998934745789 -0.0176283344626 0.0426465757191 136625.930786 0 0 0 1
image_3601092812768,1,9,1,0,9,0.894574999,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/EPnPv2_gt_mesh_z_hybrid_labels/3601092812768_0.json,0,27746.38937703178,9.310709464997894,5.915098144618243,0.29629846347100947,7.202770492432465,-0.15501902 -0.981624433 -0.111277023 -6183.90295 0.0360835151 0.106937453 -0.993610769 7890.48334 0.98725229 -0.158043834 0.0188431209 167486.32 0 0 0 1,-0.143933591089 -0.981580303362 -0.125631322845 -5600.75457347 0.0413892439435 0.12087087612 -0.99180500149 7648.99662521 0.988721423142 -0.147953841172 0.0232294873856 163952.183271 0 0 0 1,-0.0186339616776 -0.999524891376 -0.02455002442 -5357.52344131 0.0439283885062 0.0237121228129 -0.99875330925 6744.14968491 0.998860895634 -0.019689168781 0.0434656627476 136221.618652 0 0 0 1
