row_index,scene_id,im_id,match_key,score,projection_model,distortion_model,distortion_coefficients,metadata_path,bbox_match_mode,bbox_match_index,bbox_match_distance_px,detection_center_u_px,detection_center_v_px,corrected_center_u_px,corrected_center_v_px,corrected_center_minus_detection_du_px,corrected_center_minus_detection_dv_px,corrected_center_u_metadata_px,corrected_center_v_metadata_px,metadata_minus_detection_du_px,metadata_minus_detection_dv_px,corrected_center_u_pinhole_px,corrected_center_v_pinhole_px,pinhole_minus_detection_du_px,pinhole_minus_detection_dv_px,metadata_minus_pinhole_du_px,metadata_minus_pinhole_dv_px,aligned_gigapose_center_u_px,aligned_gigapose_center_v_px,native_gigapose_center_u_px,native_gigapose_center_v_px,native_gigapose_center_minus_detection_du_px,native_gigapose_center_minus_detection_dv_px,corrected_center_depth_mm,diagnostic_status,diagnostic_error
0,1,35,image_3603787821397,0.990977726,metadata,plumb_bob,-0.194224103098 0.262205816774 -0.00582822487059 0.00192228930548,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/metadata/sample_3603787821397_0.yaml,nearest_projected_center,0,5.648449896774288,915.0,308.5,911.0546090578355,321.73975528425973,-3.945390942164522,13.23975528425973,911.0546090578355,321.73975528425973,-3.945390942164522,13.23975528425973,910.8846067222763,321.99332503608275,-4.115393277723683,13.493325036082751,0.1700023355591611,-0.2535697518230222,910.5973750216341,313.6799935438589,910.0229225800749,311.1708962152134,-4.977077419925081,2.6708962152134177,137170.272827,ok,
1,1,184,image_3691086064456,0.962814389,metadata,plumb_bob,-0.194224103098 0.262205816774 -0.00582822487059 0.00192228930548,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/metadata/sample_3691086064456_0.yaml,nearest_projected_center,0,20.278732818241057,500.0,284.5,498.5640938204783,321.3494107631668,-1.4359061795216803,36.849410763166816,498.5640938204783,321.3494107631668,-1.4359061795216803,36.849410763166816,495.2992380340745,322.7611846840715,-4.700761965925494,38.26118468407151,3.264855786403814,-1.4117739209046931,485.0128591393883,315.45833264069915,513.3035857788798,299.804953777702,13.303585778879778,15.304953777701996,49828.4683228,ok,
2,1,58,image_3606184787109,0.977501785,metadata,plumb_bob,-0.194224103098 0.262205816774 -0.00582822487059 0.00192228930548,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/metadata/sample_3606184787109_0.yaml,nearest_projected_center,0,6.52220164293473,908.0,319.0,903.9006862185091,328.1217383277114,-4.099313781490878,9.121738327711398,903.9006862185091,328.1217383277114,-4.099313781490878,9.121738327711398,903.7086087434441,328.403490143468,-4.291391256555926,9.403490143467991,0.19207747506504802,-0.2817518157565928,905.147612008471,327.7202886086473,907.5094691647681,325.50372922028487,-0.4905308352318798,6.5037292202848676,141954.498291,ok,
3,1,54,image_3605783625839,0.635433518,metadata,plumb_bob,-0.194224103098 0.262205816774 -0.00582822487059 0.00192228930548,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/metadata/sample_3605783625839_0.yaml,nearest_projected_center,0,5.3075107060219615,905.5,320.0,902.5746567247859,330.405214119545,-2.925343275214118,10.405214119545008,902.5746567247859,330.405214119545,-2.925343275214118,10.405214119545008,902.3769241892819,330.69594164108344,-3.123075810718092,10.695941641083436,0.19773253550397385,-0.29072752153842885,908.5079787011867,332.5642158289237,905.4453242851198,325.3072290755855,-0.054675714880204396,5.3072290755854965,141141.220093,ok,
4,1,185,image_3691201356298,0.604899486,metadata,plumb_bob,-0.194224103098 0.262205816774 -0.00582822487059 0.00192228930548,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/metadata/sample_3691201356298_0.yaml,nearest_projected_center,0,21.12136571166937,514.5,282.5,516.2011044575692,317.48498703527844,1.7011044575691585,34.98498703527844,516.2011044575692,317.48498703527844,1.7011044575691585,34.98498703527844,513.2186506510438,318.7915418961419,-1.2813493489561552,36.291541896141894,2.9824538065253137,-1.3065548608634572,502.48757389128616,312.9197499494295,530.7055712169874,296.04590532438607,16.205571216987437,13.54590532438607,49242.4697876,ok,
5,1,125,image_3613599058398,0.573668918,metadata,plumb_bob,-0.194224103098 0.262205816774 -0.00582822487059 0.00192228930548,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/metadata/sample_3613599058398_0.yaml,nearest_projected_center,0,4.238662151278199,1373.0,267.5,1365.464996615431,272.6023102640346,-7.535003384569109,5.1023102640346,1365.464996615431,272.6023102640346,-7.535003384569109,5.1023102640346,1366.018361506336,273.00092741701457,-6.981638493663922,5.500927417014566,-0.5533648909051863,-0.39861715297996625,1329.2124712215245,266.56390417840475,1370.3189725409695,264.2169604637466,-2.6810274590304743,-3.2830395362533977,153085.388184,ok,
6,1,53,image_3605690519740,0.938722968,metadata,plumb_bob,-0.194224103098 0.262205816774 -0.00582822487059 0.00192228930548,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/metadata/sample_3605690519740_0.yaml,nearest_projected_center,0,3.332663795602333,906.0,319.5,902.401617709306,328.0777325598099,-3.598382290693962,8.577732559809874,902.401617709306,328.0777325598099,-3.598382290693962,8.577732559809874,902.206416509998,328.3612143877603,-3.7935834900019927,8.861214387760299,0.19520119930803048,-0.28348182795042476,906.901679587451,330.39803635345555,904.9647389039656,322.6677882564269,-1.0352610960344464,3.1677882564268884,140891.113281,ok,
7,1,36,image_3603890705673,0.996551908,metadata,plumb_bob,-0.194224103098 0.262205816774 -0.00582822487059 0.00192228930548,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/metadata/sample_3603890705673_0.yaml,nearest_projected_center,0,7.165674780678165,918.0,310.0,913.3913929009121,322.96130301681336,-4.6086070990878625,12.96130301681336,913.3913929009121,322.96130301681336,-4.6086070990878625,12.96130301681336,913.2245363675278,323.2158508228226,-4.775463632472224,13.215850822822574,0.16685653338436168,-0.2545478060092137,913.629868119609,317.0898359323695,912.853092741357,314.9856033469757,-5.146907258642955,4.985603346975722,137355.895996,ok,
8,1,41,image_3604484785784,0.983838442,metadata,plumb_bob,-0.194224103098 0.262205816774 -0.00582822487059 0.00192228930548,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/metadata/sample_3604484785784_0.yaml,nearest_projected_center,0,5.024489841588382,919.0,310.0,916.4780980985366,322.44094421454975,-2.521901901463366,12.440944214549745,916.4780980985366,322.44094421454975,-2.521901901463366,12.440944214549745,916.3176938832613,322.6904699882633,-2.682306116738687,12.690469988263317,0.1604042152753209,-0.24952577371357165,924.1898636997745,319.68127111417186,922.6703008627096,313.4313830659689,3.6703008627096096,3.4313830659688733,138500.656128,ok,
9,1,181,image_3690792471416,0.484369529,metadata,plumb_bob,-0.194224103098 0.262205816774 -0.00582822487059 0.00192228930548,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/metadata/sample_3690792471416_0.yaml,nearest_projected_center,0,15.913361534362615,451.5,278.5,453.3693991850482,313.7310531562998,1.8693991850482234,35.23105315629982,453.3693991850482,313.7310531562998,1.8693991850482234,35.23105315629982,449.3865756432647,315.28927621376874,-2.1134243567353224,36.789276213768744,3.982823541783546,-1.558223057468922,438.68168672212244,309.2764524128328,461.6646790871481,290.74395256355666,10.164679087148102,12.243952563556661,51807.8994751,ok,
10,1,81,image_3608483849346,0.978402741,metadata,plumb_bob,-0.194224103098 0.262205816774 -0.00582822487059 0.00192228930548,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/metadata/sample_3608483849346_0.yaml,nearest_projected_center,0,5.207805260123041,945.0,308.0,939.6650927282418,317.5206262117509,-5.334907271758198,9.52062621175088,939.6650927282418,317.5206262117509,-5.334907271758198,9.52062621175088,939.5491176537357,317.7327663049715,-5.4508823462642795,9.732766304971506,0.11597507450608191,-0.21214009322062566,958.672233457379,318.0316054148319,945.8083592244931,313.14468570386396,0.8083592244930742,5.144685703863956,146695.861816,ok,
11,1,52,image_3605583369862,0.967807162,metadata,plumb_bob,-0.194224103098 0.262205816774 -0.00582822487059 0.00192228930548,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/metadata/sample_3605583369862_0.yaml,nearest_projected_center,0,4.475891375754033,906.0,317.5,904.7442396493406,326.32479116583335,-1.2557603506594432,8.824791165833346,904.7442396493406,326.32479116583335,-1.2557603506594432,8.824791165833346,904.5561241908613,326.5998470531048,-1.4438758091387172,9.099847053104781,0.1881154584792739,-0.27505588727143504,902.7041904110515,326.364094397596,905.5884149158335,321.9569273413464,-0.41158508416651785,4.456927341346386,141723.953247,ok,
12,1,186,image_3691285612660,0.479245823,metadata,plumb_bob,-0.194224103098 0.262205816774 -0.00582822487059 0.00192228930548,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/metadata/sample_3691285612660_0.yaml,nearest_projected_center,0,16.750551239006064,532.5,280.0,530.98241212049,315.8379575927918,-1.5175878795099607,35.83795759279178,530.98241212049,315.8379575927918,-1.5175878795099607,35.83795759279178,528.2174723941307,317.07113206980375,-4.282527605869291,37.07113206980375,2.76493972635933,-1.2331744770119712,526.7525079622735,301.4468036811516,544.5604686759985,291.62437362294526,12.06046867599855,11.624373622945257,49093.1091309,ok,
13,1,80,image_3608386985759,0.367879441,metadata,plumb_bob,-0.194224103098 0.262205816774 -0.00582822487059 0.00192228930548,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/metadata/sample_3608386985759_0.yaml,nearest_projected_center,0,5.7577086523980645,942.0,308.0,937.4805737211641,318.7008344378578,-4.519426278835908,10.700834437857793,937.4805737211641,318.7008344378578,-4.519426278835908,10.700834437857793,937.3601302095063,318.9182396568692,-4.6398697904936625,10.918239656869218,0.12044351165775424,-0.2174052190114253,955.5767494884618,320.29086370319175,941.6675772042297,313.74810438412106,-0.33242279577029876,5.7481043841210635,146484.588623,ok,
14,1,123,image_3612786256803,0.616416079,metadata,plumb_bob,-0.194224103098 0.262205816774 -0.00582822487059 0.00192228930548,/home/anahita/gigapose/gigaPose_datasets/datasets/2026-05-18-v1-v4/stereo_left/metadata/sample_3612786256803_0.yaml,nearest_projected_center,0,1.7865318122115046,1270.5,277.5,1260.4226049766035,286.4912878632423,-10.077395023396548,8.991287863242292,1260.4226049766035,286.4912878632423,-10.077395023396548,8.991287863242292,1260.6523456184523,286.7397073631088,-9.847654381547727,9.239707363108778,-0.22974064184882081,-0.24841949986648615,1229.21900564689,284.21896372488834,1270.913561351071,279.2380054444518,0.41356135107093905,1.738005444451801,152935.684204,ok,
